time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  97.12000,   0.00000, -11.00000,  97.12000,   0.00000, -11.00000,  52.05800,   0.00000, -11.00000,  10.00000,   0.00000,  11.00000,  97.12000,   0.00000,  11.00000,  52.05800,   0.00000,  11.00000,  10.00000,   0.00000,   0.00000, 105.24000,   0.00000,   0.00000, 123.22000,   0.00000,   0.00000, 135.98000,   0.00000,   0.00000, 155.11999,   0.00000,   0.00000, 159.36999,   0.00000,   0.00000, 163.61999,   0.00000,  -2.90000, 149.32000,   0.00000, -19.00000, 149.32000,   0.00000, -47.00000, 149.32000,   0.00000, -73.00000, 149.32000,   0.00000, -74.93700, 148.83599,   2.51800, -76.87300, 146.09808,   4.45400, -78.21800, 144.19596,   5.79900, -76.38900, 149.85500,   2.08000, -81.87400, 149.75899,   3.13100, -85.68000, 149.75899,   3.13100, -87.83800, 149.75899,   3.13100, -76.55600, 149.86400,   0.79600, -81.99700, 149.77600,   1.12600, -86.15000, 149.77600,   1.12600, -88.75300, 149.77600,   1.12600, -76.53900, 149.88600,  -0.13600, -81.41200, 149.86300,  -0.64000, -85.03100, 149.86300,  -0.64000, -87.54200, 149.86300,  -0.64000, -76.32400, 149.81400,  -1.26400, -80.67800, 149.79100,  -2.41100, -83.57600, 149.79100,  -2.41100, -85.40700, 149.79100,  -2.41100,   2.90000, 149.32000,   0.00000,  19.00000, 149.32000,   0.00000,  47.00000, 149.32000,   0.00000,  73.00000, 149.32000,   0.00000,  74.93700, 148.83599,   2.51800,  76.87300, 146.09808,   4.45400,  78.21800, 144.19596,   5.79900,  76.38900, 149.85500,   2.08000,  81.87400, 149.75899,   3.13100,  85.68000, 149.75899,   3.13100,  87.83800, 149.75899,   3.13100,  76.55600, 149.86400,   0.79600,  81.99700, 149.77600,   1.12600,  86.15000, 149.77600,   1.12600,  88.75300, 149.77600,   1.12600,  76.53900, 149.88600,  -0.13600,  81.41200, 149.86300,  -0.64000,  85.03100, 149.86300,  -0.64000,  87.54200, 149.86300,  -0.64000,  76.32400, 149.81400,  -1.26400,  80.67800, 149.79100,  -2.41100,  83.57600, 149.79100,  -2.41100,  85.40700, 149.79100,  -2.41100
   0.01667, 276.22922,  95.30486,  21.33658, 281.18791,  96.59044,  31.07098, 277.45447,  52.40795,  39.10546, 253.29082,  19.00446,  47.42415, 271.27052,  94.01927,  11.60217, 281.28414,  50.33046,   6.95471, 271.86067,  10.47427,  16.52329, 278.03686, 102.98107,  19.40200, 282.90597, 119.47181,  14.14582, 286.76338, 130.71483,   9.50549, 292.83203, 146.86380,   1.21563, 293.84601, 150.79139,  -0.05257, 294.42326, 154.96460,  -0.61258, 293.25682, 142.04903,   5.53855, 302.41285, 142.29489,  18.77926, 308.90623, 115.34918,  22.74969, 320.74126,  92.80898,  17.47033, 320.23582,  92.41760,  14.32106, 319.68406,  91.30398,  10.65393, 318.63080,  90.06540,   8.51089, 321.81299,  91.67482,  13.77398, 323.47306,  88.22393,   9.70770, 323.17864,  85.50839,   7.05728, 322.38986,  83.88389,   5.87584, 322.30439,  90.93075,  14.71287, 324.19052,  87.16194,  11.25459, 323.87962,  83.56646,   9.19952, 322.34341,  81.55248,   8.59992, 322.62186,  90.49713,  15.47482, 324.62095,  86.75778,  13.02092, 324.53690,  83.38973,  11.69942, 323.22608,  81.29835,  11.23795, 322.84681,  90.06191,  16.51587, 324.85879,  86.37817,  14.88632, 325.03896,  83.56376,  14.21923, 324.03970,  82.03775,  14.06008, 288.72927, 141.89131,   1.91687, 275.54445, 139.82154,  -7.08792, 263.20800, 115.14810,  -2.28859, 259.81011,  89.58976,   1.06184, 262.20786,  87.46158,   1.28146, 264.62882,  84.47260,   1.72563, 265.94182,  82.42040,   2.86606, 261.75431,  86.24622,  -0.00528, 262.54280,  80.78648,  -0.88199, 263.21567,  77.14301,  -0.01135, 263.48684,  75.33198,   1.13040, 260.46600,  86.15447,  -0.09716, 260.53762,  80.77900,  -1.00290, 260.26893,  76.82982,   0.25374, 260.09734,  75.22470,   2.29575, 259.53807,  86.22638,  -0.15350, 258.80732,  81.46619,  -1.05199, 258.02186,  78.09546,   0.00555, 257.63224,  76.47113,   1.88035, 258.41911,  86.48628,  -0.08891, 257.07102,  82.27091,  -0.91761, 255.99787,  79.67246,  -0.21416, 255.58774,  78.60445,   1.21543
   0.03333, 277.51465,  95.43222,  19.91915, 282.65343,  96.77247,  29.55225, 280.05149,  52.38046,  36.84354, 256.63227,  18.53837,  45.51117, 272.37586,  94.09197,  10.28605, 281.40680,  50.11320,   6.42683, 271.57151,  10.57331,  16.85468, 279.26750, 103.10375,  17.91675, 284.02037, 119.57477,  12.49496, 287.79811, 130.79460,   7.73452, 293.74389, 146.90009,  -0.72719, 294.73538, 150.82252,  -2.02873, 295.29578, 154.99442,  -2.61501, 294.21795, 142.12227,   3.63145, 303.34959, 142.50396,  16.88579, 309.10767, 115.53772,  21.75062, 320.04278,  92.36305,  17.35084, 319.58298,  91.84695,  14.21256, 319.06515,  90.58795,  10.58776, 318.01501,  89.28594,   8.48109, 321.14742,  91.03623,  13.72906, 322.77914,  87.36281,   9.85060, 322.45345,  84.54188,   7.31645, 321.63904,  82.88962,   6.19228, 321.59990,  90.32088,  14.70895, 323.43731,  86.35052,  11.45606, 323.05875,  82.67774,   9.55480, 321.47550,  80.68351,   9.01445, 321.89080,  89.91263,  15.49514, 323.82386,  86.01302,  13.24637, 323.66543,  82.59344,  12.07226, 322.30269,  80.52165,  11.67761, 322.08416,  89.51780,  16.55840, 324.01687,  85.70988,  15.13085, 324.12686,  82.86469,  14.59124, 323.08653,  81.36207,  14.47983, 289.66634, 141.91701,   0.04248, 276.51989, 139.64101,  -8.96867, 264.85512, 114.55549,  -4.65010, 262.48376,  88.83947,  -1.63958, 264.96452,  86.80888,  -1.41805, 267.50151,  83.91656,  -0.98152, 268.88576,  81.90654,   0.14975, 264.57477,  85.59124,  -2.72340, 265.59607,  80.17914,  -3.65353, 266.40898,  76.55626,  -2.81712, 266.74242,  74.74450,  -1.69316, 263.29234,  85.44788,  -2.83038, 263.59426,  80.09094,  -3.79640, 263.47499,  76.11949,  -2.58778, 263.34821,  74.48467,  -0.56617, 262.36288,  85.48237,  -2.89603, 261.83779,  80.70719,  -3.85654, 261.18052,  77.29485,  -2.84607, 260.83844,  75.63387,  -0.99424, 261.23357,  85.69542,  -2.84070, 260.06858,  81.43845,  -3.73198, 259.09584,  78.79008,  -3.06989, 258.71505,  77.68934,  -1.65712
   0.05000, 278.83115,  95.53161,  18.47905, 284.18686,  96.93378,  27.98433, 282.80388,  52.37595,  34.56238, 260.55041,  17.86083,  43.63792, 273.47544,  94.12944,   8.97377, 281.67947,  49.93110,   5.84565, 271.54186,  10.65993,  16.97576, 280.52710, 103.19368,  16.39320, 285.16421, 119.63320,  10.77895, 288.86999, 130.82208,   5.89081, 294.71800, 146.87945,  -2.72900, 295.69048, 150.79589,  -4.06252, 296.23528, 154.96603,  -4.67537, 295.23563, 142.13283,   1.65868, 304.36665, 142.59284,  14.91096, 309.35337, 115.65798,  20.71146, 319.24835,  91.85328,  17.33128, 318.84713,  91.21545,  14.20738, 318.37972,  89.81633,  10.62738, 317.34450,  88.45233,   8.55280, 320.40060,  90.34597,  13.79599, 322.02446,  86.47080,  10.11562, 321.68353,  83.55338,   7.69528, 320.85233,  81.87556,   6.62242, 320.81181,  89.66198,  14.81564, 322.61922,  85.51176,  11.77753, 322.18884,  81.77185,  10.02390, 320.56703,  79.79662,   9.53015, 321.07396,  89.28048,  15.62505, 322.95585,  85.24137,  13.58919, 322.73543,  81.77986,  12.55647, 321.32864,  79.72786,  12.21680, 321.23263,  88.92664,  16.70829, 323.09778,  85.01416,  15.48882, 323.14605,  82.14668,  15.07214, 322.06983,  80.66716,  14.99915, 290.65612, 141.89432,  -1.89255, 277.51676, 139.45081, -10.87009, 266.52836, 113.99113,  -6.98939, 265.13263,  88.16604,  -4.32164, 267.70614,  86.25527,  -4.09249, 270.37517,  83.48427,  -3.65638, 271.84273,  81.53155,  -2.52975, 267.38981,  85.03407,  -5.41428, 268.68158,  79.68765,  -6.38696, 269.65967,  76.09959,  -5.57775, 270.06820,  74.29427,  -4.46829, 266.11703,  84.83015,  -5.53714, 266.68803,  79.50449,  -6.55325, 266.74793,  75.51939,  -5.38587, 266.67858,  73.85914,  -3.38228, 265.18775,  84.82045,  -5.61290, 264.90457,  80.03589,  -6.62702, 264.40223,  76.58535,  -5.65821, 264.12093,  74.89038,  -3.82707, 264.04893,  84.97818,  -5.56817, 263.10082,  80.67959,  -6.51509, 262.25021,  77.98055,  -5.89054, 261.90790,  76.84789,  -4.49323
   0.06667, 280.15076,  95.59009,  17.04173, 285.70997,  97.04897,  26.42080, 285.73146,  52.35532,  32.17071, 264.77225,  17.13434,  41.60834, 274.59154,  94.13121,   7.66267, 282.03465,  49.75102,   5.29980, 271.69923,  10.70618,  17.02816, 281.79871, 103.24018,  14.87501, 286.33287, 119.64280,   9.07190, 289.96933, 130.79712,   4.05446, 295.71576, 146.79888,  -4.73543, 296.67014, 150.70846,  -6.10174, 297.20217, 154.87650,  -6.73961, 296.28303, 142.08214,  -0.32175, 305.43816, 142.59234,  12.91205, 309.52608, 115.76015,  19.79117, 318.46780,  91.46975,  17.33712, 318.15253,  90.69621,  14.23409, 317.76449,  89.14277,  10.70866, 316.76017,  87.71082,   8.66491, 319.69329,  89.76660,  13.91727, 321.32698,  85.67950,  10.47842, 320.98331,  82.66133,   8.18534, 320.14055,  80.95782,   7.16321, 320.05064,  89.12065,  14.98107, 321.83849,  84.78427,  12.20248, 321.35976,  80.97873,  10.60996, 319.69939,  79.02696,  10.15243, 320.27472,  88.77085,  15.81583, 322.10685,  84.59071,  14.03525, 321.82189,  81.09153,  13.15682, 320.36902,  79.06456,  12.86408, 320.38712,  88.46439,  16.91912, 322.17902,  84.44970,  15.94713, 322.15902,  81.56548,  15.66550, 321.04391,  80.11381,  15.62392, 291.66580, 141.81758,  -3.82191, 278.51010, 139.21001, -12.72910, 268.30159, 113.36605,  -9.28295, 267.97465,  87.46627,  -7.02578, 270.64020,  85.68696,  -6.79034, 273.44333,  83.05180,  -6.35357, 274.99972,  81.16740,  -5.22983, 270.39641,  84.46166,  -8.12364, 271.96576,  79.19553,  -9.12568, 273.11890,  75.65557,  -8.33539, 273.61029,  73.86471,  -7.23615, 269.13662,  84.19430,  -8.25814, 269.98542,  78.91265,  -9.30921, 270.23907,  74.92672,  -8.17102, 270.23906,  73.24947,  -6.18044, 268.20964,  84.13801,  -8.34137, 268.17785,  79.35332,  -9.39323, 267.84432,  75.87424,  -8.45412, 267.63572,  74.15289,  -6.63792, 267.06396,  84.23733,  -8.30455, 266.34290,  79.90366,  -9.29089, 265.62595,  77.16010,  -8.69321, 265.33111,  76.00061,  -7.30713
   0.08334, 281.49362,  95.60123,  15.58736, 287.25318,  97.12119,  24.83491, 288.52110,  52.35087,  29.79418, 269.03185,  16.35573,  39.45826, 275.73407,  94.08126,   6.33981, 282.37597,  49.53692,   4.83294, 271.84058,  10.75371,  17.23229, 283.10743, 103.23179,  13.32805, 287.55331, 119.58202,   7.31268, 291.11841, 130.69254,   2.14895, 296.74509, 146.62457,  -6.84273, 297.67983, 150.52615,  -8.24503, 298.19999, 154.69205,  -8.90621, 297.37225, 141.94230,  -2.40055, 306.57059, 142.46743,  10.80267, 309.83265, 115.79241,  18.66410, 317.79426,  91.08682,  17.16528, 317.57413,  90.19304,  14.08644, 317.27760,  88.50444,  10.61469, 316.31399,  87.01275,   8.59419, 319.10211,  89.21573,  13.86581, 320.75969,  84.95315,  10.65928, 320.42614,  81.85144,   8.47897, 319.57973,  80.12703,   7.49561, 319.40414,  88.60626,  14.96760, 321.18535,  84.11844,  12.43622, 320.67174,  80.26235,  10.98219, 318.98168,  78.33223,  10.54181, 319.58873,  88.28621,  15.82369, 321.38140,  83.99473,  14.28414, 321.04271,  80.46972,  13.53800, 319.55204,  78.46652,  13.27302, 319.65296,  88.02315,  16.94194, 321.37984,  83.93131,  16.20153, 321.29911,  81.03915,  16.03635, 320.15083,  79.61317,  16.01159, 292.70782, 141.65107,  -5.83541, 279.51798, 138.91477, -14.65304, 270.25818, 112.65829, -11.67757, 271.22094,  86.73474,  -9.93328, 273.96511,  85.07937,  -9.69699, 276.88559,  82.57437,  -9.26322, 278.52356,  80.75807,  -8.14331, 273.78290,  83.85113, -11.03741, 275.59764,  78.66854, -12.06042, 276.91054,  75.18158, -11.28387, 277.48042,  73.40960, -10.19195, 272.53730,  83.52652, -11.17796, 273.63316,  78.29536, -12.25275, 274.06695,  74.31950, -11.13394, 274.13760,  72.63359,  -9.15194, 271.61421,  83.42786, -11.26493, 271.80745,  78.65242, -12.34125, 271.63194,  75.15675, -11.42112, 271.49687,  73.41807,  -9.61450, 270.46505,  83.47390, -11.23186, 269.94866,  79.11678, -12.24294, 269.35731,  76.33989, -11.66191, 269.11159,  75.16074, -10.28286
   0.10000, 282.84451,  95.55038,  14.13133, 288.82552,  97.13176,  23.22676, 291.33008,  52.32332,  27.29060, 273.58879,  15.46526,  37.06837, 276.86351,  93.96899,   5.03590, 282.86978,  49.31560,   4.27209, 272.14285,  10.79400,  17.30642, 284.42404, 103.15722,  11.77010, 288.78150, 119.44605,   5.52775, 292.27821, 130.50791,   0.21494, 297.79631, 146.36862,  -8.96808, 298.71335, 150.26208, -10.40422, 299.22296, 154.42586, -11.08668, 298.47914, 141.71868,  -4.50022, 307.74645, 142.23131,   8.65516, 310.16923, 115.78486,  17.52734, 316.98845,  90.69833,  17.12216, 316.89261,  89.68304,  14.07477, 316.71922,  87.85932,  10.66356, 315.81566,  86.30785,   8.66042, 318.40435,  88.66238,  13.96811, 320.10510,  84.23339,  11.02013, 319.79791,  81.05252,   8.95292, 318.95623,  79.30887,   7.99992, 318.63828,  88.09228,  15.10691, 320.42472,  83.46343,  12.84781, 319.88429,  79.56330,  11.52710, 318.16920,  77.65616,  11.08333, 318.77387,  87.80380,  15.98315, 320.52953,  83.41192,  14.70655, 320.13840,  79.86778,  14.08746, 318.61225,  77.89031,  13.83137, 318.77825,  87.58590,  17.11288, 320.43522,  83.42807,  16.62260, 320.28992,  80.53419,  16.57034, 319.10872,  79.13533,  16.54735, 293.76918, 141.40602,  -7.87047, 280.52605, 138.55423, -16.57087, 272.16297, 111.95552, -14.00811, 274.34944,  86.07736, -12.76716, 277.17984,  84.57329, -12.53648, 280.23259,  82.22955, -12.11227, 281.96670,  80.50005, -10.99971, 277.06583,  83.34346, -13.88296, 279.16170,  78.27283, -14.92938, 280.66273,  74.85908, -14.16853, 281.32794,  73.11560, -13.08467, 275.83992,  82.95196, -14.02615, 277.22066,  77.79379, -15.12521, 277.87041,  73.84218, -14.02522, 278.03189,  72.15303, -12.05131, 274.92365,  82.80343, -14.11440, 275.37822,  78.05097, -15.21357, 275.39345,  74.54650, -14.31046, 275.35251,  72.79427, -12.51237, 273.77367,  82.78645, -14.08211, 273.49677,  78.41259, -15.11463, 273.05771,  75.60474, -14.54752, 272.87597,  74.40723, -13.17438
   0.11667, 284.19009,  95.43575,  12.68655, 290.36040,  97.06692,  21.64572, 294.28687,  52.27303,  24.59090, 278.17502,  14.66781,  34.34441, 278.01979,  93.80458,   3.72739, 283.47534,  49.07431,   3.57341, 272.50204,  10.84871,  17.25790, 285.74216, 103.02020,  10.23674, 290.02866, 119.24679,   3.78660, 293.46706, 130.25492,  -1.67381, 298.88563, 146.02639, -11.06739, 299.78700, 149.91021, -12.53913, 300.28767, 154.07184, -13.24102, 299.62281, 141.41245,  -6.57094, 308.98326, 141.91101,   6.51888, 310.45742, 115.80062,  16.52260, 316.22226,  90.45446,  17.10502, 316.28347,  89.29860,  14.10722, 316.26713,  87.32012,  10.77890, 315.44434,  85.69822,   8.79684, 317.77026,  88.23708,  14.14109, 319.52416,  83.63283,  11.50980, 319.25549,  80.36612,   9.57534, 318.42551,  78.60054,   8.65294, 317.91895,  87.71599,  15.31709, 319.71109,  82.94268,  13.38708, 319.14466,  78.99886,  12.21541, 317.40783,  77.11569,  11.75420, 317.99318,  87.46610,  16.21232, 319.70155,  82.97673,  15.24915, 319.25136,  79.41796,  14.76996, 317.68974,  77.46878,  14.51078, 317.92307,  87.30193,  17.34895, 319.49173,  83.08597,  17.15294, 319.27035,  80.19732,  17.22434, 318.05469,  78.82848,  17.19242, 294.86446, 141.08187,  -9.87076, 281.55321, 138.11021, -18.42586, 274.13539, 111.19748, -16.26223, 277.62578,  85.44170, -15.58620, 280.52982,  84.08346, -15.36653, 283.69926,  81.89733, -14.95677, 285.52190,  80.25489, -13.85383, 280.47586,  82.85404, -16.71714, 282.82578,  77.90076, -17.78574, 284.50093,  74.56559, -17.04000, 285.25673,  72.85467, -15.96367, 279.27124,  82.40090, -16.85926, 280.91133,  77.32384, -17.97936, 281.76454,  73.40683, -16.89469, 282.01644,  71.72137, -14.92711, 278.36357,  82.20605, -16.94619, 279.05797,  77.48683, -18.06311, 279.25422,  73.98464, -17.17246, 279.30679,  72.22643, -15.38052, 277.21603,  82.13021, -16.91165, 277.16072,  77.75149, -17.95911, 276.86694,  74.92294, -17.40107, 276.74963,  73.71299, -16.03183
   0.13334, 285.57166,  95.24774,  11.22100, 291.92885,  96.92203,  20.04046, 297.12977,  52.19939,  21.88986, 282.61007,  13.90494,  31.46004, 279.21446,  93.57346,   2.40154, 284.10280,  48.77972,   2.85842, 272.81326,  10.94169,  17.33962, 287.09624, 102.80989,   8.68646, 291.31348, 118.96908,   2.02493, 294.69231, 129.91417,  -3.59701, 300.00252, 145.57168, -13.23980, 300.88771, 149.44323, -14.75309, 301.38028, 153.60216, -15.47641, 300.80057, 141.00079,  -8.70989, 310.25411, 141.49401,   4.31306, 310.88883, 115.75292,  15.31275, 315.56981,  90.22893,  16.92962, 315.78337,  88.94406,  13.99193, 315.91998,  86.82492,  10.75418, 315.17951,  85.13683,   8.79506, 317.24004,  87.85401,  14.16050, 319.03957,  83.10494,  11.83517, 318.81048,  79.76436,  10.02585, 317.99592,  77.97852,   9.12905, 317.30564,  87.38101,  15.36407, 319.09732,  82.49248,  13.74750, 318.50941,  78.51463,  12.70899, 316.75947,  76.65023,  12.22180, 317.32017,  87.16839,  16.27181, 318.97698,  82.60685,  15.60249, 318.47262,  79.04098,  15.24559, 316.88386,  77.11567,  14.97330, 317.17819,  87.05480,  17.40791, 318.65604,  82.80232,  17.48376, 318.36279,  79.92470,  17.66194, 317.11933,  78.58158,  17.61315, 295.98617, 140.65317, -11.92559, 282.60821, 137.58140, -20.34013, 276.28672, 110.35731, -18.64078, 281.27611,  84.84054, -18.63166, 284.25093,  83.64398, -18.41898, 287.53664,  81.63484, -18.01916, 289.44832,  80.09195, -16.92322, 284.26351,  82.41785, -19.77359, 286.88217,  77.60535, -20.86055, 288.73966,  74.36534, -20.12727, 289.58987,  72.69526, -19.05724, 283.08560,  81.89937, -19.91617, 285.00229,  76.92425, -21.05444, 286.07156,  73.05682, -19.98343, 286.41816,  71.38145, -18.02165, 282.18997,  81.65498, -20.00296, 283.14267,  76.98495, -21.13605, 283.53288,  73.49605, -20.25714, 283.68429,  71.73762, -18.47105, 281.04841,  81.51579, -19.96768, 281.23382,  77.14412, -21.02955, 281.09721,  74.30187, -20.48060, 281.04829,  73.08285, -19.11525
   0.15000, 286.98596,  94.99680,   9.75371, 293.55718,  96.71699,  18.40588, 300.09808,  52.13690,  19.05118, 287.29391,  13.15776,  28.30077, 280.41474,  93.27660,   1.10155, 284.82726,  48.44073,   2.02816, 273.21971,  11.00595,  17.28520, 288.47102, 102.53534,   7.12704, 292.60229, 118.62230,   0.24064, 295.92080, 129.50022,  -5.54520, 301.13944, 145.04200, -15.42238, 302.01120, 148.90093, -16.97517, 302.49735, 153.05695, -17.71925, 301.99068, 140.51228, -10.86091, 311.53661, 141.04825,   2.09278, 311.37084, 115.73675,  14.06360, 314.79511,  90.11752,  16.87952, 315.16674,  88.69848,  14.02036, 315.46314,  86.43407,  10.89355, 314.81273,  84.67337,   8.96663, 316.58686,  87.59104,  14.32913, 318.43021,  82.71079,  12.33308, 318.24620,  79.29704,  10.66032, 317.45283,  77.48771,   9.79207, 316.56656,  87.17142,  15.55393, 318.35447,  82.18381,  14.27009, 317.75054,  78.17460,  13.37070, 315.99639,  76.32202,  12.85446, 316.51938,  86.99953,  16.46915, 318.11978,  82.38345,  16.10683, 317.56481,  78.81482,  15.87437, 315.95665,  76.90815,  15.58534, 316.30370,  86.93961,  17.59772, 317.68497,  82.66889,  17.95340, 317.32121,  79.80792,  18.23788, 316.05561,  78.48657,  18.16835, 297.12538, 140.15246, -13.99769, 283.68090, 136.97645, -22.26623, 278.36217, 109.51558, -20.99683, 284.70446,  84.30819, -21.59946, 287.74333,  83.28667, -21.37968, 291.13937,  81.47146, -20.97432, 293.13403,  80.03896, -19.87643, 287.83231,  82.06822, -22.73834, 290.73147,  77.42080, -23.83166, 292.77246,  74.29221, -23.10233, 293.71499,  72.67083, -22.03475, 286.68721,  81.48234, -22.88706, 288.89528,  76.63176, -24.03486, 290.18487,  72.82958, -22.97286, 290.62181,  71.17032, -21.01543, 285.80771,  81.18637, -22.97802, 287.03559,  76.58403, -24.12322, 287.62584,  73.12077, -23.25457, 287.87341,  71.36781, -21.47385, 284.67610,  80.98062, -22.94748, 285.12034,  76.63106, -24.02332, 285.14806,  73.78374, -23.48443, 285.16562,  72.55908, -22.12338
   0.16667, 288.44467,  94.68424,   8.28529, 295.21228,  96.44140,  16.77716, 303.22787,  52.10495,  15.99383, 291.87492,  12.59264,  24.86870, 281.67706,  92.92707,  -0.20657, 285.64925,  48.05921,   1.08988, 273.65976,  11.10809,  17.20640, 289.88664, 102.20340,   5.58023, 293.93029, 118.22281,  -1.51256, 297.18869, 129.03155,  -7.45995, 302.31507, 144.44487, -17.58366, 303.17382, 148.28982, -19.17784, 303.65451, 152.44263, -19.94306, 303.22043, 139.95899, -12.98941, 312.86591, 140.57654,  -0.11333, 311.85847, 115.80382,  12.89809, 314.13544,  90.20101,  16.81109, 314.67351,  88.62750,  14.06135, 315.13660,  86.19727,  11.08277, 314.58312,  84.35020,   9.20711, 316.04413,  87.51195,  14.52553, 317.91415,  82.50085,  12.91589, 317.77190,  79.00806,  11.41061, 317.00124,  77.17055,  10.58201, 315.92962,  87.15754,  15.76565, 317.69253,  82.07760,  14.86709, 317.06471,  78.03849,  14.13302, 315.31042,  76.19383,  13.58957, 315.81523,  87.03474,  16.68284, 317.33528,  82.37750,  16.67014, 316.71964,  78.81235,  16.58145, 315.09399,  76.92291,  16.27740, 315.52043,  87.03803,  17.79499, 316.77964,  82.76724,  18.46450, 316.33434,  79.93225,  18.86817, 315.04794,  78.63247,  18.77709, 298.30281, 139.58935, -16.04234, 284.78418, 136.29591, -24.14234, 280.49903, 108.63748, -23.33707, 288.18380,  83.83019, -24.57917, 291.27660,  82.99023, -24.34329, 294.77195,  81.37846, -23.92241, 296.84131,  80.06265, -22.81675, 291.44642,  81.78470, -25.70577, 294.62362,  77.32225, -26.79707, 296.84241,  74.31759, -26.06584, 297.87295,  72.75082, -24.99805, 290.33915,  81.13238, -25.86409, 292.83892,  76.42629, -27.01512, 294.34560,  72.70324, -25.95858, 294.86811,  71.06502, -24.00440, 289.47939,  80.78503, -25.96186, 290.98595,  76.26846, -27.11578, 291.77562,  72.84294, -26.25592, 292.11577,  71.10065, -24.48001, 288.36185,  80.51226, -25.93945, 289.07070,  76.20116, -27.02820, 289.26430,  73.35838, -26.49952, 289.34608,  72.13146, -25.14285
