time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  97.12000,   0.00000, -11.00000,  97.12000,   0.00000, -11.00000,  52.05800,   0.00000, -11.00000,  10.00000,   0.00000,  11.00000,  97.12000,   0.00000,  11.00000,  52.05800,   0.00000,  11.00000,  10.00000,   0.00000,   0.00000, 105.24000,   0.00000,   0.00000, 123.22000,   0.00000,   0.00000, 135.98000,   0.00000,   0.00000, 155.11999,   0.00000,   0.00000, 159.36999,   0.00000,   0.00000, 163.61999,   0.00000,  -2.90000, 149.32000,   0.00000, -19.00000, 149.32000,   0.00000, -47.00000, 149.32000,   0.00000, -73.00000, 149.32000,   0.00000, -74.93700, 148.83599,   2.51800, -76.87300, 146.09808,   4.45400, -78.21800, 144.19596,   5.79900, -76.38900, 149.85500,   2.08000, -81.87400, 149.75899,   3.13100, -85.68000, 149.75899,   3.13100, -87.83800, 149.75899,   3.13100, -76.55600, 149.86400,   0.79600, -81.99700, 149.77600,   1.12600, -86.15000, 149.77600,   1.12600, -88.75300, 149.77600,   1.12600, -76.53900, 149.88600,  -0.13600, -81.41200, 149.86300,  -0.64000, -85.03100, 149.86300,  -0.64000, -87.54200, 149.86300,  -0.64000, -76.32400, 149.81400,  -1.26400, -80.67800, 149.79100,  -2.41100, -83.57600, 149.79100,  -2.41100, -85.40700, 149.79100,  -2.41100,   2.90000, 149.32000,   0.00000,  19.00000, 149.32000,   0.00000,  47.00000, 149.32000,   0.00000,  73.00000, 149.32000,   0.00000,  74.93700, 148.83599,   2.51800,  76.87300, 146.09808,   4.45400,  78.21800, 144.19596,   5.79900,  76.38900, 149.85500,   2.08000,  81.87400, 149.75899,   3.13100,  85.68000, 149.75899,   3.13100,  87.83800, 149.75899,   3.13100,  76.55600, 149.86400,   0.79600,  81.99700, 149.77600,   1.12600,  86.15000, 149.77600,   1.12600,  88.75300, 149.77600,   1.12600,  76.53900, 149.88600,  -0.13600,  81.41200, 149.86300,  -0.64000,  85.03100, 149.86300,  -0.64000,  87.54200, 149.86300,  -0.64000,  76.32400, 149.81400,  -1.26400,  80.67800, 149.79100,  -2.41100,  83.57600, 149.79100,  -2.41100,  85.40700, 149.79100,  -2.41100
   0.01667,-221.06547,  97.68678,-202.47684,-210.30464,  99.67909,-201.36546,-212.78583,  54.72294,-203.20187,-216.10473,  16.98889,-184.92616,-231.82631,  95.69448,-203.58822,-231.93425,  51.88658,-214.14471,-231.11877,  10.40902,-207.22930,-222.27093, 105.41474,-204.65858,-225.48766, 121.90916,-211.05132,-228.54956, 132.97042,-216.62723,-234.63801, 148.44357,-226.10627,-235.64698, 152.28238,-227.62547,-236.24672, 156.41911,-228.39378,-230.04619, 144.47562,-223.82140,-214.24647, 147.31288,-222.58501,-204.53697, 122.40517,-214.25845,-200.68506,  96.69411,-213.93593,-202.54874,  95.13885,-216.04175,-204.75638,  92.76290,-218.15682,-206.76281,  91.10995,-218.84827,-201.45613,  93.77715,-216.58069,-202.11005,  88.56362,-218.47558,-203.81681,  85.20638,-219.02468,-205.20979,  83.56852,-218.84033,-200.68802,  93.40958,-215.60523,-200.90938,  88.12490,-216.92595,-202.46607,  84.29453,-216.53556,-204.31589,  82.82015,-215.44929,-200.11915,  93.28005,-214.87790,-199.79947,  88.42635,-215.46110,-200.80991,  85.03853,-214.68723,-202.40643,  83.48888,-213.52326,-199.51176,  93.30105,-213.90095,-198.81603,  88.85263,-213.87003,-199.24633,  86.13517,-212.95970,-200.37227,  85.09601,-211.95722,-235.53986, 143.03385,-222.64627,-250.06867, 136.24820,-221.20451,-251.80165, 108.60084,-217.12777,-249.35296,  83.25081,-222.36037,-247.74897,  82.02191,-224.85908,-245.86402,  79.97031,-227.54800,-244.03414,  78.36399,-228.69140,-248.97181,  80.85838,-225.55864,-248.82895,  76.07914,-228.44612,-247.41429,  72.79437,-229.74789,-246.13739,  71.07072,-229.98354,-249.70062,  80.35639,-224.61340,-249.95653,  75.42270,-226.91868,-248.66575,  71.50221,-227.37811,-246.86405,  69.73692,-226.73528,-250.22951,  80.12342,-223.88170,-250.94446,  75.50202,-225.34189,-250.13985,  71.97384,-225.30029,-248.59081,  70.13510,-224.57597,-250.76951,  79.99198,-222.87427,-251.78918,  75.67157,-223.62781,-251.50349,  72.80855,-223.28151,-250.39536,  71.52934,-222.58277
   0.03333,-220.47148,  97.76720,-203.39424,-209.69192,  99.73148,-202.42339,-212.74039,  54.91627,-206.01328,-215.91159,  16.35103,-189.53478,-231.25105,  95.80291,-204.36509,-231.53693,  51.82719,-214.19557,-230.82498,  10.63642,-205.72866,-221.68036, 105.48913,-205.59532,-224.91597, 121.95590,-212.04953,-227.99560, 132.98662,-217.67595,-234.11357, 148.40584,-227.22360,-235.12791, 152.23718,-228.75802,-235.73076, 156.37085,-229.54024,-229.51490, 144.44784,-224.93528,-213.72087, 147.27428,-223.60485,-204.14463, 122.73044,-214.12356,-200.05977,  97.11053,-212.41050,-201.74565,  95.39671,-214.54291,-203.75039,  92.85214,-216.66389,-205.66217,  91.10451,-217.38982,-200.58322,  94.04615,-214.94694,-200.96903,  88.72901,-216.61372,-202.54116,  85.29638,-217.09449,-203.89478,  83.62570,-216.91152,-199.86574,  93.75082,-213.91029,-199.85296,  88.40417,-214.97533,-201.31899,  84.54937,-214.48682,-203.18817,  83.07084,-213.44005,-199.33880,  93.67479,-213.14482,-198.84370,  88.81128,-213.46397,-199.80094,  85.43424,-212.58280,-201.41996,  83.89240,-211.43971,-198.79302,  93.76232,-212.13573,-197.97194,  89.34506,-211.84055,-198.37811,  86.66237,-210.82240,-199.53255,  85.63740,-209.83790,-235.00438, 143.01887,-223.72546,-249.53455, 136.22452,-222.33949,-251.50951, 108.47246,-219.18949,-248.88903,  83.51217,-225.98042,-247.22707,  82.45527,-228.51960,-245.27850,  80.59047,-231.29772,-243.42055,  79.06548,-232.50541,-248.43182,  81.34140,-229.32358,-248.21568,  76.76824,-232.52334,-246.76635,  73.57924,-234.01176,-245.48147,  71.87573,-234.33442,-249.18085,  80.77653,-228.43111,-249.37621,  76.00983,-231.06958,-248.06859,  72.12963,-231.76354,-246.27875,  70.32533,-231.20091,-249.72566,  80.49453,-227.72894,-250.39952,  75.98221,-229.51374,-249.58991,  72.45946,-229.69242,-248.05436,  70.57632,-229.05917,-250.28798,  80.29520,-226.74514,-251.28290,  76.03537,-227.81163,-251.00009,  73.15555,-227.65316,-249.90575,  71.83229,-227.01759
   0.05000,-219.87302,  97.74048,-204.31532,-209.07811,  99.67959,-203.47280,-212.76905,  55.11826,-209.06284,-215.81547,  15.76778,-194.53236,-230.66792,  95.80137,-205.15784,-231.13501,  51.67712,-214.29110,-230.51024,  10.97135,-203.73055,-221.08601, 105.45689,-206.53345,-224.33762, 121.89785,-213.04514,-227.42829, 132.90027,-218.72071,-233.55799, 148.27160,-228.33781,-234.57410, 152.09687,-229.88614,-235.17696, 156.22848,-230.67915,-228.95676, 144.32214,-226.03988,-213.16270, 147.10368,-224.61839,-203.72198, 123.01516,-213.91251,-199.34963,  97.56689,-210.86814,-200.88764,  95.72221,-213.00314,-202.72265,  93.03921,-215.10709,-204.55142,  91.21058,-215.84725,-199.67226,  94.39001,-213.29740,-199.83883,  89.00171,-214.75944,-201.29546,  85.50952,-215.16985,-202.61160,  83.80985,-214.98041,-198.99672,  94.15676,-212.21764,-198.79277,  88.77432,-213.05959,-200.17784,  84.90219,-212.48029,-202.05443,  83.41439,-211.46026,-198.50449,  94.12631,-211.42633,-197.86672,  89.26989,-211.52161,-198.77480,  85.90504,-210.54676,-200.40444,  84.36493,-209.41653,-198.00922,  94.26950,-210.39774,-197.08657,  89.89257,-209.88332,-197.46914,  87.24230,-208.77511,-198.64109,  86.22525,-207.80316,-234.44425, 142.90511,-224.80719,-248.97302, 136.09399,-223.49053,-251.19474, 108.26598,-221.33042,-248.36616,  83.86189,-229.84155,-246.63507,  83.00181,-232.40868,-244.60978,  81.35437,-235.26814,-242.71770,  79.92551,-236.53876,-247.81606,  81.95333,-233.32763,-247.50693,  77.63855,-236.86120,-246.01313,  74.57226,-238.55000,-244.71734,  72.89788,-238.96755,-248.58782,  81.32211,-232.50145,-248.70477,  76.77156,-235.50144,-247.37280,  72.95532,-236.45513,-245.59578,  71.11241,-235.98448,-249.15080,  80.98740,-231.83781,-249.76935,  76.62533,-233.98031,-248.94958,  73.12624,-234.40640,-247.42853,  71.19944,-233.87823,-249.73895,  80.71357,-230.88760,-250.69810,  76.54837,-232.30344,-250.41501,  73.66475,-232.35841,-249.33596,  72.29621,-231.79689
   0.06667,-219.27271,  97.60103,-205.20960,-208.46737,  99.52076,-204.46169,-212.72122,  55.27394,-211.85813,-215.69719,  15.34765,-198.97752,-230.07804,  95.68129,-205.95750,-230.75880,  51.41236,-214.34692,-230.18491,  11.32486,-201.63718,-220.48894, 105.31434,-207.43670,-223.75009, 121.73486,-213.99504,-226.84461, 132.71167,-219.71791,-232.97157, 148.03646,-229.41073,-233.98644, 151.85630,-230.97322,-234.58664, 155.98644,-231.77579,-228.37127, 144.09501,-227.09723,-212.57096, 146.80497,-225.60852,-203.23040, 123.15588,-213.88357,-198.51435,  97.98355,-209.39888,-199.92432,  96.02110,-211.51722,-201.61038,  93.21423,-213.58388,-203.36259,  91.31067,-214.32028,-198.66477,  94.71273,-211.71774,-198.63755,  89.27226,-212.98245,-199.98699,  85.72899,-213.31403,-201.26467,  84.00207,-213.10853,-198.02363,  94.53746,-210.60650,-197.64925,  89.13551,-211.23889,-198.95379,  85.25068,-210.56533,-200.82745,  83.75035,-209.55835,-197.56026,  94.54927,-209.79746,-196.79364,  89.71181,-209.68829,-197.64940,  86.36115,-208.62157,-199.27907,  84.81931,-207.49372,-197.10709,  94.74327,-208.75785,-196.09077,  90.41476,-208.04749,-196.44502,  87.79714,-206.85546,-197.62519,  86.78454,-205.88882,-233.85855, 142.69015,-225.84980,-248.38465, 135.86120,-224.59760,-250.86825, 107.98911,-223.60853,-247.84115,  84.18003,-233.60674,-246.04611,  83.49629,-236.18296,-243.94916,  82.04679,-239.09743,-242.02507,  80.70650,-240.41561,-247.20315,  82.51454,-237.20077,-246.80324,  78.45200,-241.01324,-245.26579,  75.50724,-242.87072,-243.95888,  73.86411,-243.36979,-247.99481,  81.82893,-236.43930,-248.03398,  77.49502,-239.74639,-246.67609,  73.75181,-240.92620,-244.91010,  71.87912,-240.53901,-248.57391,  81.45007,-235.81440,-249.13599,  77.24588,-238.26583,-248.30350,  73.78342,-238.91043,-246.79477,  71.82336,-238.47801,-249.18534,  81.11230,-234.90014,-250.10613,  77.05503,-236.62182,-249.81982,  74.18169,-236.86742,-248.75416,  72.77673,-236.37444
   0.08334,-218.68143,  97.14954,-206.08890,-207.87025,  99.06325,-205.41350,-212.74148,  55.22242,-214.62419,-215.68020,  14.84652,-203.22132,-229.49260,  95.23584,-206.76429,-230.39343,  50.81188,-214.26657,-229.84494,  11.55948,-199.17274,-219.90689, 104.86015,-208.32032,-223.18427, 121.26393,-214.91236,-226.28102, 132.22041,-220.67287,-232.39190, 147.51105,-230.42955,-233.40274, 151.32738,-232.00319,-233.99794, 155.45701,-232.81214,-227.79570, 143.57498,-228.09883,-211.98053, 146.16546,-226.55616,-202.68857, 122.98100,-213.90149,-197.64417,  98.12298,-208.18896,-198.92453,  96.03863,-210.27288,-200.45845,  93.10465,-212.28066,-202.12962,  91.12259,-212.99813,-197.62216,  94.76153,-210.37942,-197.39698,  89.27926,-211.42488,-198.63296,  85.68719,-211.65947,-199.86728,  83.93228,-211.42766,-197.01464,  94.64872,-209.24152,-196.46535,  89.23983,-209.64557,-197.68110,  85.34698,-208.86128,-199.54464,  83.83179,-207.85778,-196.57971,  94.70575,-208.41874,-195.67996,  89.90115,-208.09175,-196.47601,  86.57046,-206.92128,-198.09874,  85.02577,-205.78735,-196.16802,  94.95338,-207.37328,-195.05385,  90.68792,-206.45793,-195.37402,  88.10919,-205.17494,-196.55725,  87.10022,-204.20824,-233.28454, 142.18006,-226.84712,-247.80903, 135.33474,-225.66774,-250.50093, 107.46460,-225.76025,-247.27586,  84.32207,-237.16298,-245.41893,  83.81032,-239.73523,-243.25246,  82.55679,-242.68946,-241.29771,  81.30440,-244.04835,-246.55147,  82.90260,-240.84514,-246.06149,  79.10698,-244.91359,-244.48126,  76.29130,-246.92864,-243.16373,  74.68269,-247.50610,-247.36199,  82.16881,-240.15142,-247.32349,  78.06923,-243.74489,-245.93990,  74.41141,-245.14257,-244.18524,  72.51259,-244.84049,-247.95645,  81.74983,-239.56793,-248.46153,  77.72289,-242.31190,-247.61604,  74.31014,-243.16949,-246.11974,  72.32169,-242.83447,-248.59028,  81.35230,-238.69384,-249.47168,  77.42332,-240.70870,-249.18153,  74.57257,-241.14164,-248.12924,  73.13489,-240.71934
   0.10000,-218.10028,  96.58125,-207.00365,-207.28664,  98.50035,-206.38543,-212.90758,  55.21593,-217.58576,-215.81317,  14.47140,-207.56994,-228.91392,  94.66215,-207.62186,-230.06439,  50.05904,-213.93239,-229.64080,  11.89507,-196.26302,-219.34137, 104.29122,-209.22863,-222.64062, 120.68529,-215.83390,-225.73485, 131.62855,-221.62082,-231.80686, 146.90070,-231.43060,-232.80843, 150.71596,-233.01273,-233.39359, 154.84633,-233.82524,-227.22036, 142.96451,-229.08104,-211.38288, 145.37543,-227.47736,-202.08952, 122.74176,-213.86301,-196.68478,  98.25556,-206.99171,-197.86143,  96.07157,-209.03431,-199.27226,  93.03470,-210.97836,-200.87558,  90.98791,-211.66838,-196.52553,  94.82546,-209.06703,-196.13870,  89.31929,-209.92234,-197.27899,  85.69095,-210.06555,-198.47468,  83.91358,-209.80435,-195.94353,  94.76579,-207.91189,-195.25036,  89.36238,-208.12111,-196.38800,  85.46760,-207.23573,-198.23743,  83.93902,-206.22645,-195.53048,  94.86102,-207.08139,-194.52004,  90.09443,-206.57215,-195.26166,  86.78480,-205.30982,-196.87291,  85.23721,-204.16353,-195.15088,  95.15342,-206.03536,-193.95397,  90.95038,-204.95126,-194.24143,  88.40795,-203.59044,-195.42264,  87.40137,-202.61878,-232.71335, 141.58104,-227.83485,-247.24468, 134.73561,-226.74366,-250.10403, 106.90775,-227.94137,-246.65200,  84.57688,-240.80278,-244.73099,  84.24895,-243.35791,-242.49214,  83.20822,-246.34067,-240.50566,  82.05200,-247.73822,-245.83650,  83.42958,-244.55998,-245.24983,  79.94189,-248.88328,-243.62385,  77.27630,-251.05963,-242.29497,  75.70968,-251.72049,-246.66580,  82.64974,-243.94294,-246.54314,  78.82562,-247.82652,-245.13104,  75.27548,-249.45439,-243.38813,  73.35309,-249.24870,-247.27572,  82.19115,-243.40713,-247.71799,  78.37898,-246.45219,-246.85715,  75.03549,-247.53718,-245.37353,  73.02224,-247.31179,-247.93237,  81.73273,-242.58103,-248.76926,  77.96597,-244.90150,-248.47338,  75.15376,-245.53579,-247.43485,  73.68501,-245.19405
   0.11667,-217.52985,  95.30174,-207.63411,-206.71766,  97.24007,-207.05140,-213.03103,  54.54015,-219.99133,-215.87796,  13.59409,-210.81579,-228.34203,  93.36342,-208.21681,-229.70281,  48.60410,-213.25032,-229.46443,  11.53382,-193.38546,-218.79205, 103.00976,-209.85396,-222.11577, 119.39625,-216.46577,-225.19977, 130.33360,-222.26930,-231.20373, 145.60858,-232.11648,-232.18918, 149.42598,-233.70358,-232.75741, 153.55865,-234.51637,-226.63437, 141.66253,-229.75013,-210.77438, 143.87960,-228.09025,-201.43283, 121.75300,-213.69757,-195.62281,  97.74598,-205.57928,-196.70182,  95.47005,-207.57487,-197.99551,  92.33897,-209.44972,-199.53234,  90.23114,-210.10647,-195.33466,  94.25833,-207.54172,-194.79211,  88.74005,-208.21496,-195.83773,  85.08085,-208.26618,-196.99354,  83.28225,-207.97278,-194.77532,  94.24957,-206.37395,-193.94251,  88.86190,-206.39871,-195.00002,  84.96849,-205.41359,-196.83092,  83.42488,-204.39347,-194.38203,  94.38114,-205.53884,-193.26293,  89.66025,-204.85944,-193.94712,  86.37342,-203.50824,-195.54231,  84.82120,-202.34588,-194.03156,  94.71556,-204.49523,-192.75212,  90.58041,-203.25545,-193.00368,  88.07490,-201.82104,-194.17905,  87.06890,-200.84172,-232.13433, 140.29707,-228.51484,-246.67963, 133.46836,-227.50837,-249.68265, 105.73427,-229.91716,-246.02871,  84.16362,-243.96550,-244.05603,  83.98960,-246.49627,-241.75851,  83.12985,-249.49203,-239.74638,  82.05623,-250.91849,-245.13845,  83.25151,-247.76989,-244.47102,  80.04007,-252.29098,-242.80694,  77.51034,-254.59683,-241.46852,  75.98334,-255.32750,-245.98226,  82.43758,-247.22023,-245.78868,  78.86450,-251.33323,-244.35195,  75.41834,-253.15180,-242.61843,  73.48028,-253.03170,-246.60427,  81.94855,-246.72694,-246.99282,  78.33685,-250.01408,-246.11797,  75.06490,-251.28927,-244.64429,  73.03590,-251.16054,-247.27901,  81.44161,-245.94492,-248.07698,  77.83122,-248.51431,-247.77498,  75.06331,-249.31796,-246.74736,  73.57210,-249.04802
   0.13334,-216.98535,  94.39794,-208.36386,-206.17382,  96.35280,-207.82599,-213.24878,  54.33619,-222.49340,-215.96280,  13.28226,-213.77077,-227.79688,  92.44308,-208.90174,-229.39521,  47.54182,-212.35218,-229.38075,  11.52087,-190.64121,-218.26910, 102.10559,-210.57261,-221.61722, 118.49001,-217.17726,-224.68871, 129.42738,-222.98737,-230.61605, 144.71780,-232.85699,-231.58312, 148.53913,-234.44591,-232.13194, 152.67489,-235.25632,-226.06617, 140.75625,-230.47902,-210.18260, 142.74043,-228.75122,-200.73528, 121.12138,-213.67259,-194.57069,  97.58822,-204.49719,-195.53395,  95.21648,-206.43975,-196.68863,  91.98770,-208.23811,-198.14537,  89.81306,-208.85855,-194.13186,  94.04944,-206.33634,-193.40713,  88.53173,-206.81450,-194.34004,  84.84213,-206.76771,-195.44735,  83.01900,-206.44057,-193.59963,  94.09585,-205.15685,-192.60377,  88.73863,-204.98495,-193.56541,  84.84826,-203.89515,-195.37183,  83.28246,-202.86522,-193.22989,  94.26654,-204.31806,-191.98440,  89.60711,-203.45829,-192.59981,  86.34613,-202.01454,-194.17370,  84.78366,-200.83698,-192.91391,  94.64529,-203.27860,-191.53886,  90.59414,-201.87474,-191.74752,  88.12981,-200.36412,-192.91420,  87.12010,-199.37827,-231.57361, 139.41242,-229.25337,-246.15128, 132.64009,-228.33849,-249.24881, 105.02617,-231.78481,-245.39843,  84.20536,-246.87349,-243.38474,  84.16942,-249.37754,-241.03991,  83.47430,-252.37937,-239.00668,  82.47750,-253.83142,-244.44748,  83.50783,-250.70847,-243.71200,  80.55594,-255.39296,-242.01511,  78.15624,-257.81115,-240.66782,  76.66928,-258.60533,-245.30180,  82.66647,-250.21971,-245.04751,  79.33176,-254.52507,-243.58774,  75.99012,-256.51252,-241.86018,  74.04341,-256.47428,-245.93279,  82.15205,-249.76516,-246.27421,  78.73363,-253.25779,-245.38483,  75.53673,-254.70209,-243.91741,  73.49948,-254.66465,-246.62127,  81.60353,-249.02427,-247.38387,  78.14690,-251.80701,-247.07405,  75.42814,-252.76134,-246.05390,  73.92109,-252.55970
   0.15000,-216.46590,  93.11520,-209.02753,-205.65137,  95.07043,-208.55530,-213.52484,  53.88158,-225.04987,-216.10075,  12.74739,-216.67020,-227.28043,  91.15996,-209.49976,-229.15341,  46.17033,-211.23425,-229.36132,  11.33434,-187.66974,-217.76474, 100.82700,-211.21281,-221.12286, 117.22130,-217.78778,-224.16948, 128.16898,-223.59158,-229.99549, 143.49452,-233.46706,-230.93837, 147.32278,-235.05384,-231.46178, 151.46311,-235.85774,-225.47171, 139.50619,-231.08408,-209.56313, 141.20270,-229.28157,-199.99623, 120.14673,-213.49802,-193.49191,  97.12119,-203.32362,-194.34631,  94.67119,-205.21941,-195.37029,  91.36306,-206.95149,-196.75073,  89.13082,-207.54106,-192.91362,  93.54898,-205.05648,-192.02059,  88.04411,-205.36949,-192.84762,  84.33129,-205.24051,-193.90846,  82.48584,-204.88572,-192.40731,  93.64246,-203.86840,-191.26133,  88.32327,-203.53073,-192.13273,  84.43684,-202.35443,-193.91410,  82.84676,-201.31809,-192.05997,  93.84626,-203.02744,-190.69875,  89.25000,-202.01639,-191.24954,  86.01208,-200.49665,-192.80167,  84.43608,-199.30826,-191.77647,  94.26174,-201.99264,-190.31448,  90.29160,-200.45185,-190.48311,  87.86342,-198.87898,-191.64025,  86.84659,-197.88921,-230.98836, 138.19465,-229.86489,-245.61132, 131.50677,-229.05773,-248.78154, 104.03178,-233.42521,-244.70785,  84.04400,-249.54642,-242.65722,  84.14989,-252.01832,-240.26820,  83.62593,-255.02006,-238.21376,  82.71214,-256.49667,-243.70018,  83.56681,-253.40062,-242.89564,  80.88796,-258.23544,-241.16334,  78.62935,-260.76200,-239.80460,  77.18912,-261.62020,-244.56176,  82.69962,-252.97366,-244.24402,  79.61727,-257.45912,-242.75533,  76.39380,-259.61328,-241.02877,  74.44642,-259.66129,-245.19948,  82.16057,-252.55879,-245.48946,  78.94859,-256.24657,-244.57914,  75.83899,-257.85868,-243.11269,  73.80152,-257.91652,-245.89896,  81.57111,-251.86089,-246.62060,  78.28064,-254.84844,-246.29698,  75.62083,-255.95258,-245.28013,  74.10370,-255.82270
   0.16667,-215.98039,  92.16450,-209.62122,-205.16125,  94.10852,-209.21263,-213.71238,  53.68216,-227.18959,-216.14079,  12.49642,-219.02180,-226.79953,  90.22047,-210.02980,-228.91549,  45.20837,-210.16025,-229.32572,  11.41464,-185.12644,-217.28592,  99.88337,-211.77737,-220.63692, 116.29625,-218.30949,-223.64795, 127.26215,-224.09744,-229.35858, 142.63621,-233.96488,-230.27309, 146.47399,-235.54526,-230.76581, 150.62041,-236.33705,-224.86472, 138.61462,-231.58118,-208.93639, 140.03675,-229.71678,-199.26500, 119.46795,-213.36476,-192.40463,  97.05023,-202.12281,-193.14060,  94.52856,-203.97377,-194.02211,  91.14794,-205.64312,-195.31804,  88.85852,-206.20456,-191.67659,  93.45762,-203.75408,-190.60218,  87.97858,-203.91169,-191.31295,  84.24515,-203.70689,-192.32162,  82.37547,-203.32766,-191.19851,  93.59626,-202.55873,-189.89087,  88.32673,-202.06554,-190.66238,  84.44380,-200.81052,-192.41347,  82.82249,-199.77097,-190.87554,  93.83154,-201.71628,-189.38996,  89.30767,-200.56375,-189.86896,  86.09144,-198.97517,-191.39461,  84.49532,-197.77938,-190.62715,  94.28098,-200.68667,-189.07193,  90.39883,-199.01823,-189.19597,  88.00535,-197.38904,-190.34058,  86.97590,-196.39775,-230.39145, 137.34019,-230.36832,-245.06553, 130.75431,-229.65584,-248.30290, 103.43610,-234.87457,-244.03554,  84.16221,-251.79518,-241.96024,  84.38219,-254.23880,-239.54021,  83.99732,-257.23675,-237.46952,  83.15362,-258.73225,-242.98826,  83.86107,-255.65658,-242.13068,  81.40465,-260.59921,-240.36937,  79.26466,-263.20764,-238.99973,  77.86628,-264.11626,-243.85272,  82.97446,-255.27806,-243.48480,  80.09860,-259.89490,-241.96929,  76.97760,-262.17745,-240.23922,  75.03636,-262.29596,-244.49374,  82.41646,-254.89449,-244.74134,  79.37431,-258.72655,-243.80983,  76.34189,-260.46835,-242.33961,  74.31079,-260.60340,-245.19927,  81.79522,-254.23111,-245.88546,  78.64249,-257.37163,-245.54647,  76.03574,-258.59162,-244.52855,  74.51545,-258.52018
