time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  83.64000,   0.00000, -10.50000,  83.64000,   0.00000, -10.50000,  44.24000,   0.00000, -10.50000,   6.92000,   0.00000,  10.50000,  83.64000,   0.00000,  10.50000,  44.24000,   0.00000,  10.50000,   6.92000,   0.00000,   0.00000,  91.18900,   0.00000,   0.00000, 107.90400,   0.00000,   0.00000, 119.76600,   0.00000,   0.00000, 137.56000,   0.00000,   0.00000, 141.70500,   0.00000,   0.00000, 145.85000,   0.00000,  -2.69600, 132.16800,   0.00000, -15.50000, 132.16800,   0.00000, -36.50000, 132.16800,   0.00000, -59.50000, 132.16800,   0.00000, -61.23700, 131.73400,   2.25800, -62.97300, 129.27892,   3.99400, -64.17900, 127.57338,   5.20000, -62.53900, 132.64700,   1.86500, -67.45800, 132.56100,   2.80700, -70.87100, 132.56100,   2.80700, -72.80600, 132.56100,   2.80700, -62.68900, 132.65600,   0.71400, -67.56800, 132.57700,   1.01000, -71.29200, 132.57700,   1.01000, -73.62600, 132.57700,   1.01000, -62.67300, 132.67500,  -0.12200, -67.04300, 132.65400,  -0.57400, -70.28800, 132.65400,  -0.57400, -72.54000, 132.65400,  -0.57400, -62.48000, 132.61100,  -1.13300, -66.38400, 132.59000,  -2.16100, -68.98300, 132.59000,  -2.16100, -70.62500, 132.59000,  -2.16100,   2.69600, 132.16800,   0.00000,  15.50000, 132.16800,   0.00000,  36.50000, 132.16800,   0.00000,  59.50000, 132.16800,   0.00000,  61.23700, 131.73400,   2.25800,  62.97300, 129.27892,   3.99400,  64.17900, 127.57338,   5.20000,  62.53900, 132.64700,   1.86500,  67.45800, 132.56100,   2.80700,  70.87100, 132.56100,   2.80700,  72.80600, 132.56100,   2.80700,  62.68900, 132.65600,   0.71400,  67.56800, 132.57700,   1.01000,  71.29200, 132.57700,   1.01000,  73.62600, 132.57700,   1.01000,  62.67300, 132.67500,  -0.12200,  67.04300, 132.65400,  -0.57400,  70.28800, 132.65400,  -0.57400,  72.54000, 132.65400,  -0.57400,  62.48000, 132.61100,  -1.13300,  66.38400, 132.59000,  -2.16100,  68.98300, 132.59000,  -2.16100,  70.62500, 132.59000,  -2.16100
   0.01667, -35.74263,  75.78069, -66.06369, -25.39927,  76.60563, -64.45609, -14.84939,  39.67555, -55.66804, -28.03294,  16.57937, -29.48517, -46.08599,  74.95576, -67.67129, -46.75040,  40.91042, -87.49133, -50.28729,   7.49476, -71.25353, -35.51376,  81.79387, -70.62183, -34.77260,  95.31180, -80.42528, -33.94843, 105.04992, -87.14814, -32.08521, 119.80064, -96.92419, -31.65118, 123.23673, -99.20145, -31.21715, 126.67282,-101.47872, -30.06541, 115.50054, -93.21317, -19.28789, 114.96261, -86.32128,  -9.84551, 103.17791, -71.72805,  -1.28042,  92.17660, -53.43568,   1.16742,  92.93173, -54.75551,   4.35027,  93.37647, -56.06946,   6.41355,  92.92301, -57.23349,   2.13385,  93.30939, -53.48799,   7.04811,  93.25332, -52.51941,  10.31451,  92.31177, -52.82386,  11.89607,  91.32884, -53.34992,   1.87555,  92.64132, -52.57456,   6.52901,  92.22515, -51.13559,   9.79454,  90.44047, -50.99633,  11.05086,  88.64408, -51.79769,   1.57012,  92.17956, -51.94765,   5.48486,  91.43645, -50.09717,   8.12555,  89.61568, -49.60568,   9.34693,  87.80760, -50.16297,   1.04960,  91.56903, -51.29976,   4.33193,  90.54577, -49.18371,   6.24839,  88.95875, -48.43314,   7.00372,  87.55152, -48.81439, -35.23421, 115.16111, -94.71046, -47.81248, 114.32075, -96.95175, -53.78194,  97.83537,-108.51020, -61.46310,  82.42245,-123.75624, -58.83604,  82.20178,-124.91984, -55.76663,  81.35482,-126.30410, -53.58998,  80.34908,-126.56567, -59.16485,  81.52298,-126.37391, -56.77691,  78.54981,-129.62189, -54.52659,  76.22403,-130.70604, -53.18398,  74.83065,-130.69647, -60.07743,  80.81102,-126.28624, -58.24210,  77.52585,-129.40677, -56.39234,  74.38991,-130.18937, -55.10371,  72.64170,-129.33453, -60.78573,  80.38707,-126.15171, -59.76036,  77.08747,-128.86517, -58.58185,  74.12279,-129.45831, -57.50350,  72.29482,-128.70519, -61.65787,  79.95378,-125.81247, -61.25939,  76.67327,-128.13150, -60.72497,  74.17356,-128.60125, -60.05050,  72.83407,-127.93265
   0.03333, -36.86786,  76.00034, -68.68911, -26.63784,  76.85216, -66.48208, -15.12071,  39.96052, -58.81902, -29.84843,  15.70923, -34.57543, -47.09789,  75.14852, -70.89614, -47.66673,  40.84410, -90.26734, -52.08472,   7.49628, -74.10608, -36.40910,  82.06766, -73.15729, -35.16806,  95.70369, -82.74424, -33.99389, 105.52487, -89.29198, -31.60346, 120.39748, -98.76393, -31.04662, 123.86196,-100.97036, -30.48978, 127.32644,-103.17679, -29.80108, 116.07217, -94.97114, -19.57397, 115.54684, -87.28527, -11.11842, 103.56231, -72.25614,  -3.62158,  92.25439, -53.68390,  -1.09120,  92.96565, -54.86515,   2.16532,  93.34864, -56.00671,   4.27503,  92.85924, -57.06849,  -0.18332,  93.30417, -53.54440,   4.67122,  93.11656, -52.32390,   7.92578,  92.09945, -52.47168,   9.50881,  91.08475, -52.92843,  -0.50454,  92.63152, -52.65460,   4.05661,  92.08458, -50.98269,   7.26725,  90.21927, -50.69877,   8.52060,  88.40268, -51.45815,  -0.85301,  92.16976, -52.05058,   2.94146,  91.30898, -50.01032,   5.50911,  89.41854, -49.40745,   6.71461,  87.58814, -49.92508,  -1.42086,  91.56425, -51.43871,   1.72181,  90.43560, -49.16973,   3.55847,  88.79332, -48.34246,   4.29903,  87.37285, -48.70300, -34.85455, 115.70929, -96.81627, -47.25738, 114.90683, -99.89332, -52.32232,  98.08036,-111.39186, -58.36874,  82.26861,-126.96200, -55.64149,  82.06753,-127.87072, -52.44271,  81.24309,-128.93978, -50.23438,  80.27348,-128.96934, -55.82207,  81.34246,-129.32842, -53.09225,  78.32813,-132.25301, -50.71166,  76.01793,-133.05572, -49.35226,  74.65200,-132.88116, -56.72661,  80.61539,-129.30464, -54.55348,  77.28191,-132.14434, -52.58592,  74.16249,-132.66017, -51.35282,  72.46424,-131.63891, -57.43704,  80.18149,-129.22380, -56.10785,  76.82892,-131.73282, -54.82906,  73.87271,-132.12718, -53.79449,  72.08780,-131.22425, -58.32946,  79.74069,-128.95409, -57.66135,  76.40579,-131.12906, -57.04314,  73.90503,-131.47381, -56.41110,  72.59805,-130.70669
   0.05000, -38.00347,  76.14072, -71.42657, -27.95262,  76.99843, -68.51198, -15.35054,  40.29651, -61.69165, -31.48670,  14.84821, -39.67367, -48.05431,  75.28302, -74.34115, -48.57915,  40.77625, -93.35084, -53.67584,   7.47030, -77.30343, -37.26548,  82.26758, -75.77449, -35.42578,  96.03960, -85.06632, -33.84113, 105.96009, -91.37345, -30.84671, 120.98228,-100.42849, -30.14918, 124.48160,-102.53780, -29.45164, 127.98093,-104.64712, -29.31070, 116.62034, -96.56116, -19.64094, 116.09432, -88.18492, -12.10029, 103.92015, -72.82496,  -5.56543,  92.34515, -54.05491,  -2.96977,  93.02253, -55.10741,   0.34316,  93.35731, -56.09089,   2.49077,  92.84092, -57.05981,  -2.11855,  93.32694, -53.74140,   2.66922,  93.03089, -52.29889,   5.90769,  91.95346, -52.30870,   7.49123,  90.91440, -52.70488,  -2.49350,  92.64943, -52.87665,   1.97347,  91.99409, -51.00176,   5.13209,  90.06411, -50.59383,   6.38565,  88.23350, -51.31844,  -2.87838,  92.18687, -52.29578,   0.79983,  91.22785, -50.09288,   3.30089,  89.28106, -49.39665,   4.49507,  87.43454, -49.88220,  -3.48538,  91.58472, -51.71921,  -0.47385,  90.36753, -49.32181,   1.29127,  88.68004, -48.43212,   2.02137,  87.25027, -48.77689, -34.19748, 116.24007, -98.80804, -46.32454, 115.51896,-102.85238, -50.59649,  98.41467,-114.26262, -55.00107,  82.18662,-129.95498, -52.20695,  82.01187,-130.63798, -48.91970,  81.21857,-131.42500, -46.70024,  80.29049,-131.25062, -52.25838,  81.24304,-132.08348, -49.25380,  78.20035,-134.69228, -46.77856,  75.91409,-135.23522, -45.41491,  74.57955,-134.91322, -53.14971,  80.49994,-132.11026, -50.70142,  77.13011,-134.66929, -48.64729,  74.03529,-134.93540, -47.47166,  72.38990,-133.77001, -53.85700,  80.05510,-132.07337, -52.27595,  76.65946,-134.36935, -50.92071,  73.71811,-134.57392, -49.93205,  71.97904,-133.53966, -54.76066,  79.60519,-131.86253, -53.86547,  76.22403,-133.87868, -53.18016,  73.72677,-134.09965, -52.58978,  72.45394,-133.24671
   0.06667, -38.99059,  75.82661, -73.79193, -29.15079,  76.66432, -70.22450, -15.30348,  40.29466, -64.07145, -32.67390,  13.71467, -44.46137, -48.83038,  74.98891, -77.35936, -49.40247,  40.31243, -96.05629, -55.16710,   7.03726, -80.17187, -37.98738,  82.00625, -78.01012, -35.58787,  95.90358, -86.98217, -33.62837, 105.91817, -93.02994, -30.09762, 121.08494,-101.63977, -29.27515, 124.61794,-103.64538, -28.45268, 128.15095,-105.65099, -28.81628, 116.68244, -97.72592, -19.76868, 116.14444, -88.68192, -13.17989, 103.75894, -73.05542,  -7.57568,  91.92017, -54.14943,  -4.92358,  92.58354, -55.06071,  -1.56265,  92.89374, -55.87478,   0.62346,  92.36789, -56.74778,  -4.13669,  92.85091, -53.64913,   0.57075,  92.46529, -51.98101,   3.79255,  91.34618, -51.85402,   5.38094,  90.29429, -52.19278,  -4.56170,  92.16208, -52.81711,  -0.20019,  91.41325, -50.73986,   2.91113,  89.43493, -50.21628,   4.17648,  87.60222, -50.91458,  -4.98013,  91.69364, -52.26484,  -1.42611,  90.64527, -49.90444,   1.01415,  88.65325, -49.12533,   2.20831,  86.80087, -49.58811,  -5.62188,  91.08863, -51.73044,  -2.74632,  89.78714, -49.21335,  -1.04741,  88.06027, -48.27185,  -0.31861,  86.62790, -48.60852, -33.51876, 116.29566,-100.33566, -45.27775, 115.68941,-105.36566, -48.73966,  98.35845,-116.70820, -51.37023,  81.70371,-132.35108, -48.52977,  81.54825,-132.81120, -45.18197,  80.77859,-133.31580, -42.97125,  79.89032,-132.93971, -48.45989,  80.73084,-134.22901, -45.22532,  77.64815,-136.49304, -42.68735,  75.38249,-136.76525, -41.33618,  74.08010,-136.29372, -49.33719,  79.97394,-134.29846, -46.65700,  76.55763,-136.54432, -44.55019,  73.48687,-136.54512, -43.44771,  71.89922,-135.23689, -50.03965,  79.52000,-134.30065, -48.24402,  76.07365,-136.35005, -46.84062,  73.14782,-136.34844, -45.91326,  71.45936,-135.18200, -50.95124,  79.06386,-134.14439, -49.86115,  75.63103,-135.96808, -49.12988,  73.13836,-136.04955, -48.59136,  71.90378,-135.11043
   0.08334, -39.81198,  75.53550, -75.74403, -30.24344,  76.31571, -71.49146, -15.30549,  40.32364, -65.67864, -33.61369,  12.73400, -48.46227, -49.38051,  74.75529, -79.99661, -50.09882,  39.91235, -98.37632, -56.52110,   6.63142, -82.75848, -38.51454,  81.76470, -79.80620, -35.51166,  95.78913, -88.39044, -33.16582, 105.90418, -94.12540, -29.11091, 121.22989,-102.20666, -28.16634, 124.79992,-104.08914, -27.22178, 128.36995,-105.97161, -28.09920, 116.77734, -98.27051, -19.81612, 116.20680, -88.52333, -14.26310, 103.56838, -72.69821,  -9.33980,  91.52378, -53.73275,  -6.65134,  92.19572, -54.52317,  -3.25956,  92.50990, -55.19544,  -1.04176,  91.99386, -55.99093,  -5.92090,  92.43098, -53.07599,  -1.28531,  91.99326, -51.22910,   1.92549,  90.85958, -50.99646,   3.52307,  89.80888, -51.29309,  -6.38097,  91.72678, -52.27610,  -2.10851,  90.91881, -50.04189,   0.97344,  88.91836, -49.43529,   2.26035,  87.09564, -50.12022,  -6.82260,  91.24865, -51.75086,  -3.36921,  90.13844, -49.27232,  -0.96806,  88.12157, -48.43760,   0.23820,  86.27460, -48.89050,  -7.48705,  90.63520, -51.25524,  -4.71861,  89.27127, -48.65257,  -3.06394,  87.51894, -47.67982,  -2.32647,  86.09107, -48.01666, -32.58008, 116.39435,-101.24519, -43.93433, 115.92004,-107.14422, -46.75688,  98.44736,-118.44637, -47.90108,  81.44399,-133.89228, -45.03062,  81.29291,-134.09655, -41.64819,  80.53035,-134.27670, -39.47495,  79.67459,-133.67466, -44.83350,  80.42166,-135.46961, -41.39995,  77.27870,-137.31999, -38.83804,  75.02402,-137.28055, -37.52757,  73.75148,-136.64215, -45.69805,  79.65583,-135.58545, -42.81689,  76.17590,-137.45294, -40.70469,  73.12393,-137.14924, -39.71387,  71.59688,-135.68844, -46.39564,  79.19669,-135.63100, -44.41269,  75.68748,-137.37887, -43.00204,  72.77493,-137.13981, -42.17282,  71.14029,-135.83143, -47.31539,  78.73987,-135.53698, -46.05508,  75.24744,-137.12222, -45.30860,  72.75926,-137.04149, -44.84884,  71.56628,-136.01114
   0.10000, -40.46858,  75.47902, -77.25199, -31.27234,  76.14759, -72.22882, -15.41848,  40.54385, -66.45049, -34.47185,  12.00736, -51.77329, -49.66482,  74.81045, -82.27516, -50.58824,  39.83780,-100.39756, -57.70282,   6.50043, -85.20597, -38.82649,  81.76569, -81.09501, -35.13240,  95.93838, -89.14980, -32.36051, 106.17018, -94.47277, -27.75818, 121.68028,-101.88098, -26.68610, 125.29326,-103.60668, -25.61401, 128.90625,-105.33237, -27.05585, 117.16277, -97.95149, -19.50617, 116.54438, -87.62859, -14.62812, 103.71347, -71.73607, -10.16425,  91.49462, -52.76836,  -7.45047,  92.20021, -53.43292,  -4.03654,  92.54842, -53.96078,  -1.78587,  92.06433, -54.68041,  -6.77956,  92.40056, -51.95205,  -2.21860,  91.93639, -49.93376,   0.98700,  90.81243, -49.60302,   2.60125,  89.77766, -49.86317,  -7.26694,  91.67320, -51.18995,  -3.08205,  90.82691, -48.80900,  -0.01497,  88.82596, -48.13266,   1.30883,  87.02825, -48.81334,  -7.72629,  91.17921, -50.69550,  -4.36776,  90.02036, -48.11113,  -1.98992,  87.99367, -47.23454,  -0.75577,  86.16518, -47.68732,  -8.40632,  90.54964, -50.24309,  -5.73563,  89.13059, -47.56874,  -4.11070,  87.36110, -46.57711,  -3.35205,  85.94622, -46.92166, -31.24973, 116.79794,-101.32075, -42.13680, 116.46268,-108.05142, -44.37221,  98.89865,-119.34335, -44.21622,  81.61642,-134.51899, -41.33936,  81.45216,-134.49074, -37.95702,  80.67652,-134.37694, -35.84219,  79.83755,-133.57607, -41.03891,  80.53324,-135.81306, -37.48563,  77.32044,-137.27710, -34.94584,  75.06299,-136.95779, -33.69599,  73.81062,-136.17442, -41.89538,  79.76570,-135.97027, -38.89306,  76.21673,-137.48332, -36.82629,  73.17263,-136.90872, -35.96114,  71.69521,-135.32244, -42.58945,  79.30675,-136.05487, -40.49210,  75.73461,-137.51862, -39.11892,  72.82912,-137.06860, -38.40339,  71.23921,-135.64322, -43.51597,  78.85546,-136.01802, -42.15173,  75.30729,-137.37736, -41.42610,  72.82183,-137.15214, -41.05481,  71.66444,-136.04817
   0.11667, -40.92343,  75.28586, -78.27872, -32.12422,  75.81699, -72.57419, -15.48966,  40.60918, -66.56900, -35.19990,  11.10708, -54.99684, -49.72265,  74.75473, -83.98325, -50.93402,  39.66173,-101.85428, -58.90458,   6.21683, -87.33906, -38.96692,  81.62171, -81.88654, -34.65800,  95.92616, -89.38369, -31.52338, 106.26374, -94.28427, -26.48520, 121.94340,-101.02158, -25.31159, 125.59588,-102.59100, -24.13798, 129.24836,-104.16042, -26.05888, 117.35988, -97.12906, -19.28009, 116.67592, -86.28828, -15.10009, 103.60987, -70.38841, -11.00483,  91.20016, -51.46150,  -8.28209,  91.96334, -52.01681,  -4.85863,  92.37537, -52.42287,  -2.57883,  91.94447, -53.08211,  -7.66237,  92.13038, -50.50974,  -3.16226,  91.67330, -48.35766,   0.04775,  90.58615, -47.95454,   1.68509,  89.58249, -48.19115,  -8.16293,  91.37443, -49.78493,  -4.04452,  90.51957, -47.29366,  -0.97074,  88.54393, -46.57469,   0.40150,  86.78572, -47.26260,  -8.63040,  90.85985, -49.31997,  -5.33963,  89.67491, -46.66132,  -2.96070,  87.65792, -45.76552,  -1.68494,  85.86108, -46.22954,  -9.31499,  90.20783, -48.90806,  -6.71057,  88.75040, -46.18936,  -5.09170,  86.97639, -45.19589,  -4.30091,  85.58303, -45.55555, -29.96489, 117.02430,-100.83098, -40.33155, 116.82976,-108.34343, -41.96980,  99.16432,-119.57945, -40.56095,  81.61255,-134.37643, -37.69956,  81.40273,-134.10708, -34.35271,  80.57606,-133.69484, -32.32631,  79.72556,-132.70080, -37.30877,  80.44284,-135.37559, -33.70713,  77.13382,-136.45720, -31.24387,  74.84539,-135.87068, -30.08556,  73.59517,-134.95444, -38.16344,  79.68516,-135.58258, -35.11297,  76.04768,-136.74956, -33.15641,  72.98770,-135.92699, -32.45131,  71.54098,-134.23661, -38.85656,  79.23530,-135.71196, -36.71233,  75.59064,-136.90373, -35.43418,  72.67693,-136.26602, -34.86705,  71.11574,-134.74531, -39.79111,  78.80021,-135.73969, -38.38552,  75.19423,-136.88843, -37.72651,  72.70456,-136.53904, -37.46816,  71.57233,-135.37823
   0.13334, -41.11080,  75.17838, -78.91911, -32.75969,  75.52674, -72.56399, -15.68592,  40.60093, -66.15813, -35.75076,  10.26613, -57.79247, -49.46192,  74.83001, -85.27423, -51.02129,  39.58672,-102.81955, -59.82013,   6.01740, -89.09135, -38.85931,  81.57881, -82.22858, -33.97983,  96.03702, -89.05075, -30.51668, 106.48776, -93.46615, -25.10290, 122.33952, -99.46941, -23.84179, 126.03209,-100.86783, -22.58068, 129.72465,-102.26625, -24.94474, 117.68037, -95.64718, -19.06005, 116.89974, -84.30242, -15.44892, 103.60957, -68.44900, -11.55175,  91.03614, -49.58844,  -8.83114,  91.86064, -50.06020,  -5.40720,  92.34269, -50.37491,  -3.10530,  91.96853, -50.99055,  -8.24966,  92.00056, -48.53523,  -3.79313,  91.56841, -46.28937,  -0.57417,  90.52789, -45.83751,   1.08613,  89.55935, -46.06012,  -8.75311,  91.21796, -47.84137,  -4.67878,  90.37300, -45.27538,  -1.58723,  88.43407, -44.53306,  -0.16779,  86.71804, -45.23163,  -9.22185,  90.68373, -47.40046,  -5.97270,  89.49014, -44.69491,  -3.57905,  87.49325, -43.79331,  -2.26054,  85.73129, -44.27135,  -9.90389,  90.00966, -47.02110,  -7.33724,  88.53016, -44.27850,  -5.70999,  86.76037, -43.29124,  -4.88597,  85.39057, -43.66647, -28.54207, 117.39176, -99.65337, -38.34732, 117.32344,-107.88714, -39.52344,  99.57270,-119.04635, -37.20495,  81.80508,-133.46634, -34.38637,  81.52691,-132.93498, -31.11463,  80.62287,-132.20476, -29.21044,  79.74284,-131.01424, -33.91023,  80.52828,-134.14298, -30.32021,  77.10245,-134.82621, -27.98483,  74.76459,-133.97243, -26.94910,  73.50594,-132.92970, -34.76376,  79.78861,-134.41086, -31.72401,  76.04694,-135.22222, -29.93593,  72.95664,-134.16342, -29.42649,  71.53120,-132.38687, -35.45479,  79.35414,-134.59316, -33.31523,  75.62837,-135.51105, -32.18182,  72.69771,-134.70069, -31.79770,  71.15758,-133.10321, -36.39491,  78.94306,-134.69640, -34.99348,  75.27621,-135.63906, -34.43866,  72.77887,-135.18049, -34.31756,  71.66723,-133.97810
   0.15000, -41.08793,  75.46830, -79.69844, -33.28144,  75.59629, -72.67760, -16.20067,  40.79424, -65.64731, -36.37080,   9.72004, -61.13704, -48.89442,  75.34031, -86.71929, -50.77526,  39.94686,-103.92762, -60.65109,   6.23895, -91.31704, -38.56875,  81.95816, -82.61783, -33.17096,  96.60889, -88.58534, -29.41008, 107.18996, -92.40684, -23.66324, 123.22980, -97.53751, -22.32455, 126.96618, -98.73266, -20.98586, 130.70256, -99.92782, -23.78618, 118.47827, -93.82942, -18.71247, 117.59210, -82.10702, -15.62559, 104.04077, -66.36432, -11.83044,  91.28731, -47.60410,  -9.11800,  92.17017, -48.01317,  -5.69876,  92.71989, -48.26088,  -3.38078,  92.40018, -48.84613,  -8.56389,  92.28763, -46.47617,  -4.13713,  91.88690, -44.16651,  -0.90750,  90.89450, -43.68359,   0.77353,  89.96075, -43.89917,  -9.06418,  91.48144, -45.80748,  -5.01717,  90.65436, -43.19289,  -1.90326,  88.75538, -42.44077,  -0.44173,  87.08037, -43.15198,  -9.53019,  90.92958, -45.38582,  -6.30403,  89.73627, -42.65277,  -3.88934,  87.76349, -41.75420,  -2.53144,  86.03602, -42.24761, -10.20590,  90.23544, -45.03217,  -7.65744,  88.74337, -42.27944,  -6.01443,  86.98208, -41.30313,  -5.15967,  85.63559, -41.69362, -27.02316, 118.26043, -98.13617, -36.23922, 118.30674,-107.02462, -37.07703, 100.44061,-118.02915, -34.12134,  82.46298,-132.06726, -31.36237,  82.10648,-131.31552, -28.18668,  81.11325,-130.32395, -26.40865,  80.19108,-128.98008, -30.82542,  81.07887,-132.47264, -27.30152,  77.53788,-132.83983, -25.11305,  75.14142,-131.78335, -24.20078,  73.86523,-130.65051, -31.67823,  80.36202,-132.79856, -28.70257,  76.52037,-133.33308, -27.09876,  73.39098,-132.10714, -26.77294,  71.97317,-130.28198, -32.36624,  79.94637,-133.02963, -30.27889,  76.14647,-133.74051, -29.30328,  73.19330,-132.81478, -29.09205,  71.66240,-131.17672, -33.30786,  79.56262,-133.20150, -31.95233,  75.84359,-133.99508, -31.51258,  73.33657,-133.46944, -31.51954,  72.23693,-132.25005
   0.16667, -40.78674,  75.75700, -80.65026, -33.49050,  75.66952, -73.09995, -16.84853,  40.82656, -65.26587, -36.81211,   9.29558, -65.07712, -48.08298,  75.84447, -88.20057, -50.26426,  40.26006,-104.97412, -61.41597,   6.45870, -93.75406, -38.08934,  82.33792, -83.18065, -32.34459,  97.17080, -88.31629, -28.38428, 107.86674, -91.57508, -22.42088, 124.06434, -95.89970, -21.03175, 127.83746, -96.90710, -19.64261, 131.61059, -97.91449, -22.77245, 119.22584, -92.32095, -18.49900, 118.22570, -80.29266, -15.96356, 104.33553, -64.74806, -12.23390,  91.34801, -46.13586,  -9.53287,  92.28990, -46.48421,  -6.12130,  92.90794, -46.66860,  -3.78961,  92.64470, -47.22689,  -9.00310,  92.38124, -44.93688,  -4.60313,  92.00746, -42.57217,  -1.36276,  91.06338, -42.06494,   0.33834,  90.16597, -42.27740,  -9.49775,  91.55046, -44.29462,  -5.47382,  90.73637, -41.64061,  -2.33606,  88.87765, -40.88712,  -0.83345,  87.24697, -41.61554,  -9.95935,  90.98036, -43.89284,  -6.75090,  89.78236, -41.14107,  -4.31287,  87.83358, -40.25321,  -2.91600,  86.14342, -40.76666, -10.62696,  90.26580, -43.56547,  -8.09072,  88.75627, -40.81098,  -6.42923,  87.00289, -39.85185,  -5.54394,  85.68189, -40.26097, -25.68341, 119.08633, -96.85753, -34.21021, 119.25124,-106.40787, -34.78596, 101.23300,-117.17873, -31.36460,  83.00311,-130.77893, -28.67539,  82.55267,-129.84655, -25.60931,  81.45247,-128.64508, -23.95746,  80.47554,-127.18400, -28.10142,  81.49934,-130.96202, -24.69136,  77.83220,-131.08381, -22.66471,  75.36547,-129.87694, -21.87520,  74.06445,-128.68185, -28.95644,  80.81150,-131.34042, -26.09302,  76.86249,-131.66396, -24.68698,  73.68531,-130.32354, -24.53267,  72.26806,-128.47553, -29.64245,  80.41934,-131.61451, -27.65181,  76.54278,-132.17245, -26.84621,  73.56234,-131.17344, -26.79802,  72.03502,-129.51921, -30.58408,  80.06851,-131.84628, -29.31488,  76.29847,-132.53503, -29.00135,  73.78061,-131.97209, -29.12778,  72.68949,-130.75159
