time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  78.09000,   0.00000, -10.00000,  78.09000,   0.00000, -10.00000,  41.58000,   0.00000, -10.00000,   6.62000,   0.00000,  10.00000,  78.09000,   0.00000,  10.00000,  41.58000,   0.00000,  10.00000,   6.62000,   0.00000,   0.00000,  85.14500,   0.00000,   0.00000, 100.76600,   0.00000,   0.00000, 111.85200,   0.00000,   0.00000, 128.48100,   0.00000,   0.00000, 132.33600,   0.00000,   0.00000, 136.19100,   0.00000,  -2.52000, 123.44200,   0.00000, -14.50000, 123.44200,   0.00000, -34.00000, 123.44200,   0.00000, -55.00000, 123.44200,   0.00000, -56.63200, 123.03400,   2.12100, -58.26300, 120.72741,   3.75200, -59.39600, 119.12511,   4.88500, -57.85500, 123.89200,   1.75200, -62.47600, 123.81100,   2.63700, -65.68200, 123.81100,   2.63700, -67.50000, 123.81100,   2.63700, -57.99600, 123.90000,   0.67100, -62.57900, 123.82600,   0.94900, -66.07700, 123.82600,   0.94900, -68.27000, 123.82600,   0.94900, -57.98100, 123.91800,  -0.11400, -62.08600, 123.89800,  -0.53800, -65.13500, 123.89800,  -0.53800, -67.25000, 123.89800,  -0.53800, -57.80000, 123.85800,  -1.06500, -61.46800, 123.83800,  -2.03100, -63.91000, 123.83800,  -2.03100, -65.45300, 123.83800,  -2.03100,   2.52000, 123.44200,   0.00000,  14.50000, 123.44200,   0.00000,  34.00000, 123.44200,   0.00000,  55.00000, 123.44200,   0.00000,  56.63200, 123.03400,   2.12100,  58.26300, 120.72741,   3.75200,  59.39600, 119.12511,   4.88500,  57.85500, 123.89200,   1.75200,  62.47600, 123.81100,   2.63700,  65.68200, 123.81100,   2.63700,  67.50000, 123.81100,   2.63700,  57.99600, 123.90000,   0.67100,  62.57900, 123.82600,   0.94900,  66.07700, 123.82600,   0.94900,  68.27000, 123.82600,   0.94900,  57.98100, 123.91800,  -0.11400,  62.08600, 123.89800,  -0.53800,  65.13500, 123.89800,  -0.53800,  67.25000, 123.89800,  -0.53800,  57.80000, 123.85800,  -1.06500,  61.46800, 123.83800,  -2.03100,  63.91000, 123.83800,  -2.03100,  65.45300, 123.83800,  -2.03100
   0.01667,  88.60674,  70.22573, -59.91456,  97.86028,  70.11715, -56.12508, 103.03482,  38.22149, -73.12130, 101.71056,   4.15587, -65.37654,  79.35319,  70.33432, -63.70403,  78.71138,  36.76923, -49.35296,  70.52773,  13.43305, -24.64159,  90.08443,  76.20708, -63.35155,  93.12981,  89.65080, -70.70053,  95.08484,  99.32570, -75.74766,  97.67548, 113.97222, -83.18351,  98.00585, 117.68541, -84.16538,  98.00905, 121.53999, -84.22212,  99.31965, 109.44137, -80.26632, 109.93639, 106.87507, -75.34500, 112.34481,  89.50109, -66.82477, 117.60447,  69.51328, -63.10679, 117.17694,  67.45477, -64.81216, 116.63283,  64.66367, -66.41040, 115.63643,  62.73745, -67.06739, 118.41198,  66.57155, -64.56185, 119.44409,  61.98833, -64.83056, 118.91404,  58.82658, -64.85905, 118.08072,  57.21971, -64.68972, 118.72304,  66.64722, -63.51973, 119.89860,  62.21849, -63.21791, 119.24418,  58.88683, -62.37663, 117.73426,  57.44806, -61.69888, 118.92662,  66.81674, -62.78041, 120.18638,  62.99054, -61.88354, 119.73835,  60.21046, -60.71442, 118.40593,  58.79087, -59.88820, 119.05084,  67.15703, -61.88067, 120.31752,  63.85048, -60.52051, 120.14642,  61.76699, -59.25830, 119.13575,  60.83893, -58.55254,  94.46125, 109.62656, -81.59421,  83.03165, 109.50977, -85.18183,  76.07234,  91.40531, -87.19345,  69.72714,  73.00517, -95.07844,  71.31170,  72.02802, -97.04386,  73.11361,  70.35631, -99.18842,  74.69943,  68.97086,-100.02536,  70.32508,  71.16403, -97.84894,  70.56963,  67.31729,-100.54824,  71.74809,  64.55800,-101.67784,  72.75569,  63.05290,-101.83453,  69.57726,  70.73003, -97.18493,  69.41051,  66.74379, -99.45842,  70.35042,  63.40974, -99.94490,  71.68359,  61.78796, -99.31107,  69.03574,  70.52288, -96.65519,  68.39837,  66.77500, -98.26092,  68.89099,  63.76781, -98.36345,  70.00004,  62.09466, -97.69725,  68.45416,  70.38486, -95.89133,  67.49004,  66.86531, -96.92624,  67.54551,  64.42754, -96.79374,  68.31862,  63.24980, -96.16439
   0.03333,  89.89671,  70.87597, -61.91640,  99.16921,  70.70663, -58.17579, 104.06929,  38.74016, -75.12025, 101.97898,   4.78595, -67.06152,  80.62422,  71.04531, -65.65700,  79.40969,  37.94247, -50.30426,  70.77153,  14.67093, -25.68680,  91.33408,  76.95014, -65.20447,  94.30460,  90.58533, -72.22396,  96.22125, 100.38690, -77.03594,  98.78001, 115.21559, -84.11310,  99.10530, 118.94716, -85.02447,  99.10791, 122.80216, -85.03218, 100.43563, 110.61535, -81.31334, 111.04651, 107.96689, -76.42302, 113.19578,  90.63370, -67.75173, 118.44000,  70.72048, -63.63326, 118.15483,  68.63947, -65.34107, 117.74787,  65.82668, -66.94208, 116.81318,  63.88793, -67.65085, 119.36991,  67.76525, -64.98416, 120.43731,  63.18408, -65.11447, 119.92315,  60.01973, -65.14494, 119.08528,  58.41107, -65.02120, 119.59832,  67.85500, -63.92195, 120.76358,  63.43591, -63.47425, 120.05813,  60.11159, -62.64526, 118.50538,  58.67394, -62.06961, 119.74288,  68.03443, -63.17116, 120.94330,  64.22540, -62.13119, 120.41591,  61.45757, -60.96613, 119.02844,  60.04174, -60.22886, 119.79514,  68.38616, -62.26877, 120.96429,  65.10239, -60.77288, 120.70306,  63.03353, -59.50207, 119.64389,  62.10927, -58.86587,  95.57365, 110.82891, -82.62375,  84.15175, 110.85735, -86.23756,  77.17734,  92.76662, -88.31920,  70.78399,  74.44191, -96.33980,  72.37043,  73.50415, -98.32281,  74.18295,  71.87654,-100.49221,  75.78315,  70.52090,-101.35033,  71.39133,  72.63319, -99.12955,  71.67406,  68.81352,-101.86334,  72.88460,  66.08096,-103.02359,  73.91239,  64.59169,-103.19915,  70.65368,  72.18297, -98.46495,  70.52967,  68.21436,-100.77176,  71.51364,  64.89824,-101.29250,  72.87333,  63.29016,-100.68049,  70.11831,  71.96365, -97.93387,  69.52435,  68.22098, -99.56814,  70.05875,  65.22206, -99.69951,  71.19527,  63.55916, -99.05428,  69.54330,  71.81088, -97.16785,  68.62281,  68.28700, -98.22746,  68.71347,  65.84922, -98.11633,  69.50687,  64.67721, -97.50170
   0.05000,  91.11700,  70.72180, -63.55818, 100.39436,  70.50658, -59.83200, 105.01891,  38.43788, -76.66032, 102.30061,   4.59295, -68.33370,  81.83965,  70.93703, -67.28435,  80.37565,  38.25192, -51.08186,  71.22712,  15.13505, -26.50309,  92.52949,  76.86845, -66.71993,  95.44993,  90.66353, -73.44170,  97.33931, 100.57791, -78.02806,  99.87422, 115.57617, -84.74744, 100.19686, 119.32466, -85.58755, 100.20153, 123.17941, -85.54379, 101.53811, 110.91103, -82.06232, 112.14848, 108.20909, -77.20023, 114.04972,  90.91506, -68.39388, 119.29399,  71.08620, -63.88677, 119.12632,  68.98734, -65.58830, 118.83032,  66.15768, -67.18393, 117.94690,  64.21053, -67.93421, 120.31495,  68.11840, -65.14090, 121.39138,  63.53750, -65.15114, 120.88230,  60.37235, -65.18354, 120.03891,  58.76397, -65.10013, 120.47086,  68.21939, -64.06666, 121.60570,  63.80664, -63.49530, 120.84767,  60.49013, -62.68154, 119.26034,  59.05651, -62.19746, 120.56415,  68.40672, -63.30970, 121.69361,  64.61016, -62.15141, 121.09015,  61.85381, -60.99609, 119.65677,  60.44387, -60.33980, 120.55498,  68.76781, -62.40954, 121.62207,  65.50113, -60.80396, 121.27660,  63.44514, -59.53237, 120.17732,  62.52613, -58.95979,  96.67406, 111.15162, -83.36029,  85.25820, 111.29623, -86.99041,  78.27212,  93.21161, -89.08595,  71.73755,  74.94392, -97.12278,  73.30969,  73.99726, -99.11295,  75.10468,  72.35968,-101.28941,  76.69572,  70.99735,-102.15394,  72.32327,  73.12774, -99.91231,  72.57848,  69.30175,-102.63997,  73.77387,  66.56313,-103.80161,  74.79601,  65.07031,-103.98005,  71.58806,  72.68115, -99.24259,  71.43851,  68.70834,-101.54064,  72.40919,  65.38814,-102.06032,  73.76737,  63.77706,-101.45286,  71.05506,  72.46456, -98.70801,  70.44014,  68.72050,-100.33131,  70.96447,  65.71967,-100.45968,  72.09950,  64.05453, -99.81761,  70.48398,  72.31511, -97.93840,  69.54650,  68.79201, -98.98562,  69.63024,  66.35418, -98.87009,  70.42351,  65.18094, -98.25765
   0.06667,  92.24321,  71.32720, -65.04063, 101.51099,  71.06185, -61.29391, 105.99098,  38.90649, -77.99550, 102.76124,   5.06623, -69.83420,  82.97543,  71.59256, -68.78735,  81.55035,  39.14535, -52.11019,  71.92263,  16.50367, -27.27347,  93.65652,  77.52649, -68.09750,  96.57276,  91.44834, -74.55453,  98.45827, 101.45885, -78.92876, 100.99026, 116.60800, -85.30184, 101.31399, 120.37094, -86.07416, 101.32304, 124.22484, -85.98268, 102.65606, 111.88080, -82.72877, 113.26157, 109.14584, -77.87454, 114.98928,  91.87746, -68.98251, 120.25842,  72.12529, -64.17755, 120.18462,  70.00905, -65.86415, 119.97639,  67.16313, -67.44467, 119.13506,  65.20835, -68.22295, 121.34602,  69.14479, -65.34237, 122.41888,  64.56407, -65.24566, 121.91069,  61.39873, -65.27388, 121.06310,  59.79127, -65.22106, 121.44194,  69.25681, -64.26220, 122.54083,  64.85021, -63.58330, 121.73688,  61.54221, -62.77903, 120.12429,  60.11358, -62.36939, 121.49304,  69.45192, -63.50319, 122.55422,  65.66750, -62.24492, 121.88588,  62.92314, -61.09677, 120.41742,  61.51997, -60.50688, 121.43397,  69.82223, -62.60869, 122.40825,  66.57225, -60.91275, 121.99141,  64.52943, -59.64135, 120.86146,  63.61631, -59.12146,  97.78995, 112.15406, -84.01250,  86.37863, 112.38391, -87.65245,  79.38192,  94.30329, -89.74704,  72.62266,  76.07709, -97.69173,  74.16037,  75.09775, -99.69295,  75.91050,  73.42356,-101.87808,  77.47507,  72.03619,-102.75104,  73.15450,  74.23463,-100.47481,  73.33253,  70.38697,-103.17800,  74.48162,  67.62613,-104.33376,  75.48371,  66.11990,-104.51326,  72.42174,  73.80160, -99.79359,  72.19825,  69.81500,-102.06156,  73.12309,  66.47981,-102.56871,  74.46879,  64.85674,-101.96539,  71.89237,  73.59517, -99.25144,  71.21407,  69.84759,-100.84102,  71.70094,  66.83984,-100.95408,  72.82327,  65.16566,-100.31322,  71.32843,  73.45797, -98.47432,  70.33689,  69.93921, -99.48576,  70.39277,  67.50142, -99.35391,  71.17893,  66.32299, -98.74226
   0.08334,  93.25366,  72.01096, -66.40382, 102.50494,  71.69051, -62.62080, 106.94463,  39.42528, -79.12001, 103.35618,   5.55171, -71.25199,  84.00239,  72.33140, -70.18684,  82.74692,  39.87674, -53.51055,  72.72523,  17.75722, -28.36112,  94.68029,  78.25406, -69.36378,  97.62245,  92.27159, -75.59821,  99.52426, 102.34898, -79.80876, 102.07772, 117.59766, -85.93097, 102.40584, 121.37055, -86.65115, 102.41927, 125.22323, -86.51806, 103.73787, 112.82431, -83.44080, 114.33467, 110.08166, -78.57191, 115.97511,  92.82282, -69.64491, 121.30942,  73.15067, -64.59004, 121.32493,  71.01826, -66.25770, 121.20192,  68.15694, -67.81924, 120.40437,  66.19310, -68.62048, 122.45956,  70.16139, -65.66911, 123.53317,  65.58399, -65.47366, 123.03197,  62.41750, -65.49718, 122.18526,  60.80890, -65.47211, 122.50014,  70.28393, -64.58659, 123.56979,  65.88625, -63.81009, 122.73100,  62.58447, -63.01593, 121.10184,  61.15655, -62.67522, 122.51219,  70.48638, -63.82788, 123.51369,  66.71633, -62.48071, 122.79194,  63.98172, -61.34167, 121.29749,  62.58128, -60.81385, 122.40702,  70.86511, -62.94117, 123.29862,  67.63348, -61.16651, 122.82067,  65.60206, -59.89833, 121.66710,  64.69166, -59.42790,  98.87006, 113.12955, -84.71079,  87.46447, 113.41525, -88.36475,  80.45804,  95.33799, -90.45582,  73.42118,  77.14005, -98.22225,  74.91062,  76.11717,-100.23813,  76.59792,  74.39435,-102.43485,  78.12516,  72.97310,-103.31934,  73.87828,  75.26421,-100.99629,  73.94942,  71.39020,-103.66658,  75.03388,  68.60022,-104.81478,  76.00770,  67.07577,-104.99607,  73.14920,  74.84967,-100.29980,  72.82345,  70.84738,-102.52740,  73.68432,  67.49270,-103.01835,  75.01203,  65.85261,-102.42123,  72.62505,  74.65702, -99.74759,  71.85927,  70.90742,-101.29202,  72.29397,  67.89100,-101.38512,  73.39811,  66.20390,-100.74652,  72.07120,  74.53626, -98.96056,  71.00518,  71.02586, -99.92415,  71.02238,  68.58874, -99.77087,  71.79827,  67.40272, -99.16078
   0.10000,  94.18520,  72.77765, -67.71237, 103.41730,  72.41181, -63.88687, 107.85525,  40.01557, -80.12781, 104.02308,   6.07581, -72.67066,  84.95309,  73.14349, -71.53787,  83.93256,  40.47435, -55.26932,  73.65492,  19.06385, -29.61465,  95.63229,  79.04752, -70.60506,  98.61607,  93.12998, -76.67113, 100.54741, 103.25677, -80.74758, 103.14881, 118.58313, -86.65172, 103.48431, 122.36422, -87.32389, 103.50125, 126.21519, -87.14850, 104.79446, 113.76857, -84.23226, 115.37451, 111.02848, -79.32566, 116.97049,  93.76448, -70.40058, 122.37212,  74.17710, -65.09423, 122.45400,  72.03349, -66.74552, 122.39645,  69.16116, -68.29053, 121.63480,  67.18875, -69.10555, 123.57053,  71.18517, -66.11167, 124.65379,  66.61353, -65.84707, 124.16559,  63.44497, -65.86616, 123.32456,  61.83322, -65.85957, 123.57273,  71.31523, -65.02927, 124.63102,  66.92723, -64.18537, 123.77733,  63.62761, -63.39817, 122.14260,  62.19554, -63.10476, 123.55745,  71.52288, -64.27203, 124.52531,  67.76609, -62.86455, 123.77439,  65.03643, -61.73253, 122.26764,  63.63366, -61.24761, 123.41990,  71.90720, -63.39218, 124.26093,  68.69129, -61.56506, 123.74651,  66.66664, -60.30033, 122.58060,  65.75487, -59.86424,  99.92658, 114.10915, -85.49298,  88.52710, 114.41515, -89.16428,  81.48015,  96.35184, -91.23967,  74.17366,  78.16227, -98.77324,  75.59313,  77.09702,-100.81748,  77.19320,  75.32698,-103.04175,  78.67184,  73.87144,-103.95268,  74.52682,  76.25716,-101.54251,  74.46089,  72.36208,-104.18211,  75.46570,  69.54410,-105.33441,  76.40708,  68.00087,-105.52767,  73.80821,  75.86130,-100.82459,  73.35446,  71.84859,-103.01066,  74.14222,  68.47514,-103.49572,  75.45488,  66.81583,-102.91878,  73.29479,  75.68246,-100.25786,  72.42300,  71.93563,-101.75200,  72.80091,  68.91119,-101.83141,  73.89032,  67.20926,-101.20700,  72.75889,  75.57784, -99.45622,  71.60597,  72.08010,-100.36414,  71.58322,  69.64431,-100.19150,  72.35281,  68.44911, -99.59143
   0.11667,  95.05788,  73.60980, -68.99287, 104.26418,  73.21918, -65.10810, 108.78367,  40.65547, -80.98760, 104.77705,   6.63643, -73.99809,  85.85159,  74.00042, -72.87765,  85.10022,  40.94942, -57.38421,  74.62090,  20.41922, -31.09930,  96.52433,  79.89789, -71.83585,  99.55342,  94.01995, -77.78628, 101.52193, 104.17419, -81.77573, 104.19036, 119.54132, -87.54240, 104.53498, 123.32735, -88.18138, 104.55373, 127.17665, -87.97266, 105.81473, 114.69849, -85.16537, 116.37539, 111.96082, -80.21582, 117.97214,  94.67809, -71.32718, 123.43284,  75.16120, -65.82521, 123.57293,  73.01272, -67.46622, 123.57731,  70.13472, -69.00172, 122.85248,  68.15302, -69.82770, 124.68104,  72.17626, -66.80253, 125.79664,  67.61508, -66.49522, 125.33616,  64.44238, -66.51456, 124.50903,  62.82345, -66.52241, 124.65596,  72.31004, -65.72087, 125.73104,  67.93427, -64.83571, 124.88682,  64.63012, -64.05734, 123.25778,  63.18500, -63.79827, 124.62061,  72.52015, -64.96498, 125.58626,  68.77671, -63.52089, 124.83157,  66.04457, -62.39740, 123.32559,  64.63051, -61.94389, 124.45855,  72.90629, -64.09011, 125.28265,  69.70405, -62.23153, 124.75514,  67.67939, -60.97223, 123.58687,  66.75908, -60.56109, 100.94879, 115.07092, -86.42455,  89.55968, 115.37340, -90.12821,  82.43777,  97.33242, -92.14106,  74.84785,  79.13053, -99.35802,  76.17911,  78.02570,-101.44023,  77.67096,  76.21161,-103.70388,  79.09006,  74.72156,-104.65292,  75.07341,  77.20360,-102.12552,  74.84455,  73.29631,-104.73782,  75.75512,  70.45237,-105.90457,  76.65872,  68.88940,-106.11852,  74.37053,  76.82626,-101.38250,  73.76638,  72.81166,-103.52834,  74.47045,  69.42040,-104.01784,  75.76756,  67.73809,-103.47323,  73.87216,  76.66092,-100.79849,  72.87789,  72.92436,-102.24098,  73.19247,  69.89251,-102.31402,  74.26715,  68.17237,-101.71454,  73.36039,  76.57152, -99.97943,  72.10906,  73.09286,-100.82851,  72.04315,  70.65901,-100.64037,  72.80761,  69.45181,-100.05804
   0.13334,  95.91687,  74.49321, -70.25906, 105.09034,  74.08716, -66.29893, 109.76566,  41.32593, -81.72046, 105.72158,   7.22701, -75.15458,  86.74340,  74.89926, -74.21918,  86.06004,  41.31370, -59.91802,  75.48127,  21.51782, -33.11477,  97.40042,  80.80107, -73.04887, 100.47452,  94.95441, -78.90107, 102.48114, 105.12302, -82.83455, 105.21630, 120.50404, -88.53252, 105.57001, 124.29254, -89.15152, 105.59021, 128.14045, -88.91860, 106.81884, 115.64503, -86.17376, 117.36004, 112.91051, -81.18117, 118.97082,  95.59181, -72.36538, 124.45904,  76.12456, -66.71688, 124.65439,  73.97362, -68.34899, 124.71946,  71.09205, -69.87640, 124.03194,  69.10091, -70.71153, 125.75745,  73.15033, -67.66087, 126.91363,  68.60173, -67.31896, 126.48640,  65.42439, -67.33911, 125.67635,  63.79695, -67.35931, 125.70916,  73.28650, -66.58030, 126.81125,  68.92431, -65.66196, 125.98564,  65.61350, -64.89196, 124.36670,  64.15221, -64.66193, 125.65640,  73.49810, -65.82583, 126.63128,  69.76844, -64.35258, 125.88229,  67.03139, -63.23725, 124.38214,  65.60290, -62.81042, 125.47273,  73.88468, -64.95544, 126.29214,  70.69574, -63.07209, 125.76024,  68.66882, -61.81828, 124.59348,  67.73746, -61.42832, 101.95611, 116.04139, -87.43803,  90.58046, 116.33641, -91.18340,  83.36071,  98.32385, -93.09994,  75.43824,  80.10009, -99.89177,  76.68425,  78.96669,-102.01106,  78.07248,  77.12084,-104.31460,  79.43465,  75.60341,-105.30286,  75.54332,  78.16285,-102.65928,  75.16387,  74.25406,-105.25173,  75.98700,  71.39153,-106.43783,  76.85556,  69.81216,-106.67515,  74.85728,  77.79990,-101.89368,  74.11539,  73.79164,-104.00793,  74.74347,  70.38718,-104.50910,  76.02676,  68.68327,-104.00008,  74.37445,  77.64488,-101.29400,  73.26951,  73.92327,-102.69395,  73.52768,  70.88611,-102.76782,  74.58972,  69.14847,-102.19694,  73.88689,  77.56659,-100.45919,  72.54808,  74.10884,-101.25879,  72.44478,  71.67701,-101.06155,  73.20538,  70.45773,-100.49969
   0.15000,  96.77812,  75.40803, -71.52955, 105.92088,  75.00048, -67.49917, 110.77692,  41.99413, -82.33089, 106.73747,   7.82585, -76.13303,  87.63537,  75.81559, -75.55993,  87.07736,  41.61849, -62.78391,  76.46842,  22.29411, -35.65053,  98.26977,  81.73403, -74.27360, 101.37059,  95.91451, -80.04548, 103.40376, 106.09411, -83.93665, 106.19066, 121.48347, -89.58682, 106.55324, 125.27339, -90.19187, 106.57817, 129.12021, -89.94209, 107.77562, 116.61400, -87.23776, 118.30682, 113.88681, -82.22012, 119.93139,  96.52217, -73.49773, 125.43377,  77.08923, -67.74583, 125.67058,  74.93954, -69.37411, 125.78300,  72.05803, -70.89888, 125.12555,  70.05983, -71.74132, 126.77303,  74.12748, -68.67183, 127.96957,  69.59064, -68.31286, 127.57390,  66.40924, -68.33644, 126.78022,  64.77390, -68.36575, 126.70996,  74.26368, -67.59202, 127.84340,  69.91299, -66.65745, 127.04089,  66.59457, -65.89582, 125.43367,  65.11752, -65.68508, 126.64573,  74.47510, -66.83840, 127.63885,  70.75591, -65.35092, 126.90301,  68.01215, -64.24336, 125.41179,  66.56916, -63.83438, 126.44745,  74.86027, -65.97059, 127.27470,  71.68044, -64.07530, 126.74720,  69.64897, -62.82700, 125.58489,  68.70635, -62.45103, 102.91671, 117.02623, -88.51160,  91.55445, 117.31180, -92.29815,  84.21970,  99.32919, -94.05233,  75.99388,  81.08269,-100.40852,  77.15735,  79.92313,-102.56033,  78.44405,  78.04832,-104.89916,  79.74828,  76.50384,-105.92305,  75.98329,  79.14068,-103.17466,  75.45553,  75.23702,-105.74883,  76.18957,  72.35785,-106.95298,  77.02056,  70.76179,-107.21215,  75.31237,  78.79187,-102.38936,  74.43400,  74.79627,-104.47509,  74.98210,  71.37979,-104.98817,  76.24632,  69.65205,-104.51284,  74.84383,  78.64685,-101.77600,  73.62836,  74.94563,-103.13792,  73.82593,  71.90399,-103.21401,  74.87013,  70.14686,-102.67052,  74.37869,  78.57889,-100.92759,  72.95158,  75.14667,-101.68323,  72.80720,  72.71750,-101.47909,  73.55984,  71.48443,-100.93696
   0.16667,  97.65507,  76.32965, -72.81829, 106.77020,  75.92967, -68.72508, 111.80246,  42.69428, -82.97519, 107.86948,   8.45349, -77.11849,  88.53993,  76.72963, -76.91150,  88.19319,  42.00696, -65.63338,  77.62574,  23.02531, -38.24310,  99.14468,  82.67631, -75.51533, 102.25139,  96.88902, -81.20417, 104.29781, 107.08282, -85.05097, 107.11917, 122.48477, -90.64950, 107.48988, 126.27555, -91.24416, 107.52270, 130.12179, -90.98649, 108.69203, 117.60602, -88.31159, 119.22090, 114.89338, -83.28119, 120.85199,  97.48540, -74.64684, 126.34699,  78.06158, -68.85717, 126.60852,  75.91572, -70.48671, 126.74907,  73.03719, -72.01476, 126.10952,  71.03653, -72.86510, 127.71019,  75.10891, -69.77719, 128.92987,  70.57845, -69.41566, 128.55258,  67.39488, -69.44688, 127.76851,  65.75508, -69.48464, 127.63809,  75.24314, -68.69770, 128.78920,  70.89759, -67.76080, 127.99987,  67.57351, -67.01015, 126.39955,  66.08700, -66.81387, 127.56689,  75.45306, -67.94428, 128.56985,  71.73738, -66.45465, 127.84126,  68.98781, -65.35674, 126.35523,  67.53573, -64.96128, 127.35978,  75.83579, -67.07746, 128.19068,  72.65790, -65.18051, 127.66527,  70.62160, -63.93924, 126.50553,  69.67180, -63.57355, 103.83643, 118.02918, -89.59443,  92.48209, 118.31698, -93.40450,  85.03213, 100.36186, -94.94131,  76.48601,  82.09430,-100.79451,  77.56309,  80.89768,-102.97086,  78.74147,  78.98223,-105.33373,  79.98085,  77.40272,-106.38436,  76.35475,  80.14026,-103.54906,  75.66593,  76.23821,-106.08735,  76.29933,  73.33698,-107.29571,  77.08535,  71.72060,-107.56885,  75.69744,  79.81100,-102.74405,  74.66935,  75.82756,-104.78413,  75.12313,  72.39677,-105.29381,  76.35898,  70.64196,-104.84374,  75.24247,  79.67991,-102.11748,  73.90407,  76.00207,-103.42645,  74.02820,  72.95630,-103.49180,  75.04534,  71.17760,-102.96750,  74.79910,  79.62687,-101.25645,  73.27197,  76.22575,-101.95506,  73.07633,  73.80163,-101.73427,  73.81434,  72.55370,-101.20620
