time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  91.42999,   0.00000,  -9.25000,  91.42999,   0.00000,  -9.25000,  49.55999,   0.00000,  -9.25000,   7.68999,   0.00000,   9.25000,  91.42999,   0.00000,   9.25000,  49.55999,   0.00000,   9.25000,   7.68999,   0.00000,   0.00000,  99.24799,   0.00000,   0.00000, 116.55799,   0.00000,   0.00000, 128.84299,   0.00000,   0.00000, 147.26999,   0.00000,   0.00000, 152.00499,   0.00000,   0.00000, 156.73999,   0.00000,  -2.79200, 141.68599,   0.00000, -16.00000, 141.68599,   0.00000, -42.50000, 141.68599,   0.00000, -68.50000, 141.68599,   0.00000, -70.34200, 141.22499,   2.39500, -72.18300, 138.62142,   4.23600, -73.46250, 136.81194,   5.51550, -71.72400, 142.19399,   1.97800, -76.94100, 142.10299,   2.97700, -80.56100, 142.10299,   2.97700, -82.61300, 142.10299,   2.97700, -71.88200, 142.20399,   0.75700, -77.05600, 142.11999,   1.07100, -81.00500, 142.11999,   1.07100, -83.48100, 142.11999,   1.07100, -71.86600, 142.22399,  -0.12900, -76.50100, 142.20199,  -0.60800, -79.94300, 142.20199,  -0.60800, -82.33100, 142.20199,  -0.60800, -71.66100, 142.15599,  -1.20200, -75.80200, 142.13399,  -2.29300, -78.55900, 142.13399,  -2.29300, -80.30100, 142.13399,  -2.29300,   2.79200, 141.68599,   0.00000,  16.00000, 141.68599,   0.00000,  42.50000, 141.68599,   0.00000,  68.50000, 141.68599,   0.00000,  70.34200, 141.22499,   2.39500,  72.18300, 138.62142,   4.23600,  73.46250, 136.81194,   5.51550,  71.72400, 142.19399,   1.97800,  76.94100, 142.10299,   2.97700,  80.56100, 142.10299,   2.97700,  82.61300, 142.10299,   2.97700,  71.88200, 142.20399,   0.75700,  77.05600, 142.11999,   1.07100,  81.00500, 142.11999,   1.07100,  83.48100, 142.11999,   1.07100,  71.86600, 142.22399,  -0.12900,  76.50100, 142.20199,  -0.60800,  79.94300, 142.20199,  -0.60800,  82.33100, 142.20199,  -0.60800,  71.66100, 142.15599,  -1.20200,  75.80200, 142.13399,  -2.29300,  78.55900, 142.13399,  -2.29300,  80.30100, 142.13399,  -2.29300
   0.01667,  15.74797,  93.12965,  38.30281,  19.51296,  90.45107,  46.31608,  14.92181,  48.89304,  44.09171,   7.92968,   7.84144,  48.44760,  11.98298,  95.80824,  30.28953,  12.10864,  55.21669,  20.02271,   5.19908,  13.94246,  18.68370,  14.82267, 100.35115,  41.15147,  14.47460, 116.57435,  47.17830,  15.48966, 128.07310,  51.38185,  18.52561, 145.04315,  57.88990,  18.52890, 149.47696,  59.55169,  17.64412, 153.84890,  61.14025,  18.63519, 138.81283,  58.27398,  20.45038, 133.57547,  70.26258,  39.92219, 124.66750,  85.87497,  56.56058, 144.26065,  89.78300,  55.24870, 146.96887,  90.31785,  54.23318, 150.46922,  90.84068,  53.82840, 152.95619,  90.39388,  56.11815, 147.51954,  91.71913,  57.47065, 152.20650,  93.82306,  58.22176, 155.74674,  93.90644,  58.63935, 157.65890,  93.29002,  57.28076, 147.11593,  91.68248,  59.22884, 151.46944,  93.71419,  60.91134, 155.02885,  93.40697,  61.62617, 156.83278,  91.86897,  58.06700, 146.71231,  91.61497,  60.48907, 150.26263,  93.41550,  62.41251, 153.10019,  93.10557,  63.32779, 154.80124,  91.70157,  58.94884, 146.11019,  91.37455,  61.70806, 148.99666,  92.92169,  63.60242, 150.99092,  92.73368,  64.33620, 152.10388,  91.61231,  16.57603, 140.98847,  53.56150,  14.36278, 146.39122,  41.71400,  20.23757, 122.09654,  32.91028,  41.51561, 111.34043,  43.28097,  42.53832, 113.38933,  45.30521,  44.22026, 115.43975,  47.85942,  45.23231, 116.15124,  50.09952,  44.09392, 113.80054,  44.64657,  48.76599, 115.47187,  46.54440,  51.40628, 115.97946,  48.96838,  52.52653, 115.82757,  50.68088,  44.58751, 112.82345,  44.08305,  49.41144, 113.92480,  45.62990,  52.48054, 113.51818,  48.08140,  53.29160, 112.53937,  50.20618,  44.82301, 112.09887,  43.63008,  49.36416, 112.48541,  44.60048,  52.15662, 111.69950,  46.45302,  53.09941, 110.63141,  48.36949,  44.91981, 111.14015,  43.11099,  49.16238, 110.93601,  43.65649,  51.49005, 110.01039,  44.80810,  52.09807, 109.08607,  46.15366
   0.03333,  15.84444,  93.18150,  38.27174,  19.56842,  90.44996,  46.28630,  14.92198,  48.89474,  44.12504,   7.94794,   7.83676,  48.44963,  12.12046,  95.91303,  30.25718,  12.39482,  55.34323,  19.90766,   5.57581,  14.05655,  18.49058,  14.91654, 100.38739,  41.15882,  14.55834, 116.57334,  47.28440,  15.56273, 128.04354,  51.56773,  18.57816, 144.96614,  58.20755,  18.55342, 149.39027,  59.89475,  17.61587, 153.74500,  61.50024,  18.68499, 138.73323,  58.54770,  20.45049, 133.40773,  70.50485,  40.20125, 124.97989,  86.03318,  56.64664, 144.79848,  89.60703,  55.33007, 147.51800,  90.06785,  54.31158, 151.02883,  90.50818,  53.92037, 153.50802,  90.00914,  56.17348, 148.09235,  91.47552,  57.49451, 152.81414,  93.52075,  58.25085, 156.35408,  93.55509,  58.68399, 158.25417,  92.91263,  57.33578, 147.68625,  91.46852,  59.25301, 152.07239,  93.45900,  60.94812, 155.62296,  93.12048,  61.69596, 157.39780,  91.56443,  58.12238, 147.28020,  91.42342,  60.51637, 150.85836,  93.20633,  62.45100, 153.68675,  92.88268,  63.39647, 155.36082,  91.46630,  59.00749, 146.67244,  91.21087,  61.74213, 149.58174,  92.75888,  63.64369, 151.56922,  92.57167,  64.40109, 152.66065,  91.44487,  16.64377, 140.94282,  53.84322,  14.48057, 146.43963,  42.02980,  20.28602, 122.19558,  33.04244,  41.50048, 111.14133,  43.22824,  42.71079, 113.23201,  45.10059,  44.59094, 115.30960,  47.48926,  45.70206, 116.08272,  49.66094,  44.27561, 113.49029,  44.38829,  49.09600, 114.93726,  46.08933,  51.82093, 115.40259,  48.42655,  52.96729, 115.27619,  50.12378,  44.68641, 112.44790,  43.87783,  49.61020, 113.29514,  45.26146,  52.69947, 112.82142,  47.67529,  53.48921, 111.91898,  49.84151,  44.86005, 111.68206,  43.46675,  49.43844, 111.80256,  44.32524,  52.21136, 110.93434,  46.17036,  53.12139, 109.92090,  48.13182,  44.87746, 110.68894,  43.00696,  49.10688, 110.21670,  43.48407,  51.39022, 109.19966,  44.64728,  51.96318, 108.31833,  46.03635
   0.05000,  15.93733,  93.23113,  38.24812,  19.62387,  90.45289,  46.26393,  14.93477,  48.90061,  44.13858,   7.97425,   7.83894,  48.44991,  12.25078,  96.00936,  30.23230,  12.69270,  55.46331,  19.79588,   5.97019,  14.16353,  18.30150,  15.00650, 100.42305,  41.16889,  14.63758, 116.57458,  47.38403,  15.63145, 128.01732,  51.74262,  18.62817, 144.89217,  58.51117,  18.57283, 149.30594,  60.22459,  17.57637, 153.64037,  61.84939,  18.73047, 138.65701,  58.80880,  20.43650, 133.23786,  70.73246,  40.49187, 125.33740,  86.14722,  56.76452, 145.35769,  89.37037,  55.45084, 148.08930,  89.76286,  54.43834, 151.61074,  90.12541,  54.06365, 154.08197,  89.57668,  56.27480, 148.68574,  91.17287,  57.58146, 153.43868,  93.15418,  58.34987, 156.97614,  93.13744,  58.79953, 158.86309,  92.46816,  57.43561, 148.27574,  91.19080,  59.33804, 152.69012,  93.13242,  61.05080, 156.22850,  92.75707,  61.82856, 157.97297,  91.18147,  58.22135, 147.86635,  91.16490,  60.60074, 151.46763,  92.92058,  62.55018, 154.28341,  92.57653,  63.52307, 155.92895,  91.14536,  59.10740, 147.25198,  90.97667,  61.82858, 150.17922,  92.51455,  63.73987, 152.15676,  92.32127,  64.51823, 153.22551,  91.18704,  16.70966, 140.90004,  54.11134,  14.59839, 146.48789,  42.33128,  20.32960, 122.29078,  33.17141,  41.46443, 110.92854,  43.18234,  42.89245, 113.03724,  44.87220,  45.00080, 115.11325,  47.06358,  46.23022, 115.94166,  49.14943,  44.45320, 113.11294,  44.10990,  49.42043, 114.26775,  45.59867,  52.23694, 114.66686,  47.83750,  53.41487, 114.56480,  49.51463,  44.76318, 112.00650,  43.66763,  49.77566, 112.53418,  44.88111,  52.88031, 111.97479,  47.25658,  53.65216, 111.16419,  49.46514,  44.86225, 111.20178,  43.30947,  49.45679, 110.99901,  44.05929,  52.19847, 110.03392,  45.90297,  53.07549, 109.08850,  47.91284,  44.78573, 110.18080,  42.92254,  48.97367, 109.39118,  43.34241,  51.19684, 108.27112,  44.52732,  51.73329, 107.44492,  45.96405
   0.06667,  16.02094,  93.27969,  38.22870,  19.66899,  90.45417,  46.24559,  14.94891,  48.90413,  44.14517,   8.00122,   7.84034,  48.45701,  12.37289,  96.10522,  30.21180,  12.96293,  55.57995,  19.70223,   6.35570,  14.26466,  18.12466,  15.08591, 100.45703,  41.18380,  14.70603, 116.57233,  47.49165,  15.69147, 127.98510,  51.92997,  18.67578, 144.80555,  58.83799,  18.59399, 149.20775,  60.57988,  17.54557, 153.52189,  62.22586,  18.76914, 138.56823,  59.08981,  20.41571, 133.07010,  70.98563,  40.73539, 125.62448,  86.28018,  56.83058, 145.84856,  89.09649,  55.52979, 148.59577,  89.41632,  54.53573, 152.13013,  89.69427,  54.18448, 154.59204,  89.09086,  56.33905, 149.21547,  90.82481,  57.65072, 153.99927,  92.72694,  58.44245, 157.53077,  92.64901,  58.91322, 159.40091,  91.94781,  57.49682, 148.79862,  90.86640,  59.40248, 153.23940,  92.74359,  61.14318, 156.75861,  92.31966,  61.95299, 158.46586,  90.71963,  58.28013, 148.38386,  90.85919,  60.65982, 152.00495,  92.57324,  62.63203, 154.80087,  92.19831,  63.63439, 156.41091,  90.74725,  59.16453, 147.76024,  90.69517,  61.88441, 150.70088,  92.20961,  63.81100, 152.66204,  92.00182,  64.61117, 153.70267,  90.85667,  16.77373, 140.84855,  54.39945,  14.72392, 146.53385,  42.65521,  20.36553, 122.38556,  33.31271,  41.40295, 110.67541,  43.12595,  43.02564, 112.77105,  44.64802,  45.33619, 114.81373,  46.65947,  46.67431, 115.67553,  48.66327,  44.56883, 112.67893,  43.85249,  49.64322, 113.54199,  45.16744,  52.53493, 113.86486,  47.32108,  53.74198, 113.77894,  48.97829,  44.78409, 111.52634,  43.47683,  49.84985, 111.74454,  44.55683,  52.96012, 111.10021,  46.90325,  53.72195, 110.37381,  49.14435,  44.81378, 110.69544,  43.16965,  49.39686, 110.18951,  43.84235,  52.10199, 109.13571,  45.69144,  52.95376, 108.25458,  47.74099,  44.65148, 109.66094,  42.85112,  48.77720, 108.58135,  43.24044,  50.93791, 107.37146,  44.45227,  51.44530, 106.59889,  45.92884
   0.08334,  16.09522,  93.32928,  38.21066,  19.69747,  90.44990,  46.22910,  14.96461,  48.90074,  44.14006,   8.02739,   7.83676,  48.46687,  12.49296,  96.20866,  30.19222,  13.23439,  55.70269,  19.61801,   6.76872,  14.36892,  17.94125,  15.15483, 100.48986,  41.20445,  14.76604, 116.56678,  47.60895,  15.74654, 127.95017,  52.12318,  18.72341, 144.72124,  59.15339,  18.61618, 149.11242,  60.92151,  17.51636, 153.40569,  62.58840,  18.80660, 138.48229,  59.36531,  20.38836, 132.91293,  71.23677,  40.97206, 125.89853,  86.38137,  56.92370, 146.28419,  88.82481,  55.64684, 149.05107,  89.06046,  54.68527, 152.60078,  89.23945,  54.36729, 155.05067,  88.57207,  56.44345, 149.69674,  90.46450,  57.77827, 154.51210,  92.26835,  58.60697, 158.03268,  92.11602,  59.10616, 159.88050,  91.37638,  57.59624, 149.26961,  90.53192,  59.52180, 153.73559,  92.32723,  61.30386, 157.22611,  91.84227,  62.15241, 158.88594,  90.21270,  58.37530, 148.84707,  90.54542,  60.76864, 152.48501,  92.20388,  62.77413, 155.25139,  91.78853,  63.81223, 156.81576,  90.31284,  59.25541, 148.21095,  90.40857,  61.98463, 151.16046,  91.88857,  63.93374, 153.09687,  91.65982,  64.75977, 154.10145,  90.50091,  16.83604, 140.79580,  54.68069,  14.84276, 146.56460,  42.96749,  20.39624, 122.45506,  33.47332,  41.33795, 110.43076,  43.10975,  43.14109, 112.48111,  44.48317,  45.63601, 114.45470,  46.33720,  47.07408, 115.32486,  48.26677,  44.65696, 112.22944,  43.66979,  49.80661, 112.78288,  44.85225,  52.75699, 113.00869,  46.93759,  53.98752, 112.92567,  48.57760,  44.77902, 111.04477,  43.35746,  49.86777, 110.94365,  44.34250,  52.96861, 110.20093,  46.67225,  53.71972, 109.54622,  48.93892,  44.74115, 110.19807,  43.09799,  49.28704, 109.38930,  43.72564,  51.94373, 108.24134,  45.58886,  52.76923, 107.41513,  47.67176,  44.49662, 109.16240,  42.84192,  48.53847, 107.80081,  43.22685,  50.62799, 106.50248,  44.47155,  51.10661, 105.77802,  45.98173
   0.10000,  16.15920,  93.38013,  38.19183,  19.71882,  90.45176,  46.21157,  14.99016,  48.90179,  44.12919,   8.06201,   7.83911,  48.48276,  12.59959,  96.30849,  30.17208,  13.52323,  55.82272,  19.53506,   7.19365,  14.47179,  17.76490,  15.21460, 100.52559,  41.22022,  14.81985, 116.56667,  47.71360,  15.79830, 127.92127,  52.30022,  18.77389, 144.64140,  59.45124,  18.63962, 149.02102,  61.24601,  17.48326, 153.29089,  62.93457,  18.84435, 138.40108,  59.62367,  20.35428, 132.75187,  71.46672,  41.22931, 126.19962,  86.41834,  57.05960, 146.72204,  88.47559,  55.81214, 149.50774,  88.63438,  54.88951, 153.07118,  88.72224,  54.60686, 155.50864,  87.99601,  56.60097, 150.17626,  90.03209,  57.97151, 155.01621,  91.74086,  58.84217, 158.52287,  91.51787,  59.37045, 160.34762,  90.74205,  57.74798, 149.73786,  90.12187,  59.70528, 154.22171,  91.83652,  61.53240, 157.68002,  91.29217,  62.41741, 159.29263,  89.63482,  58.52195, 149.30702,  90.15351,  60.93894, 152.95471,  91.75529,  62.98040, 155.68820,  91.29940,  64.05218, 157.20676,  89.80014,  59.39613, 148.65810,  90.04082,  62.14296, 151.60975,  91.48349,  64.11652, 153.51843,  91.23235,  64.96642, 154.48698,  90.06012,  16.90003, 140.74820,  54.94481,  14.96708, 146.59632,  43.26087,  20.41806, 122.51938,  33.62565,  41.25506, 110.16293,  43.06693,  43.23429, 112.13471,  44.30639,  45.90438, 114.00107,  46.02233,  47.43555, 114.85681,  47.88557,  44.71316, 111.72052,  43.49143,  49.90778, 111.92694,  44.58538,  52.89821, 112.02985,  46.62281,  54.14326, 111.93770,  48.25133,  44.73708, 110.51486,  43.24300,  49.81661, 110.06397,  44.17628,  52.88471, 109.20398,  46.50904,  53.61656, 108.61434,  48.79974,  44.62892, 109.66113,  43.03063,  49.10633, 108.52965,  43.65171,  51.69278, 107.27646,  45.54568,  52.48253, 106.50035,  47.66146,  44.29997, 108.63584,  42.83425,  48.22786, 106.98099,  43.24873,  50.22775, 105.58987,  44.53957,  50.67097, 104.91180,  46.08176
   0.11667,  16.21351,  93.43341,  38.16690,  19.72982,  90.45500,  46.18732,  15.01176,  48.90320,  44.11748,   8.09614,   7.84202,  48.50503,  12.69720,  96.41182,  30.14648,  13.79326,  55.94265,  19.46278,   7.61289,  14.57386,  17.58576,  15.26692, 100.56388,  41.22983,  14.86702, 116.56660,  47.81686,  15.84165, 127.88851,  52.48438,  18.81191, 144.54823,  59.77724,  18.65308, 148.91481,  61.60150,  17.44682, 153.16246,  63.31108,  18.86884, 138.30665,  59.90303,  20.31742, 132.58747,  71.72013,  41.44429, 126.42286,  86.48167,  57.15674, 147.07463,  88.10130,  55.94777, 149.88053,  88.18376,  55.07517, 153.45764,  88.17937,  54.83269, 155.88074,  87.39307,  56.73532, 150.57119,  89.57139,  58.16134, 155.43096,  91.17529,  59.08335, 158.91874,  90.87579,  59.64339, 160.71683,  90.06098,  57.87528, 150.11904,  89.68072,  59.88288, 154.61477,  91.30365,  61.76299, 158.03314,  90.69167,  62.68343, 159.59308,  89.00349,  58.64279, 149.67828,  89.72878,  61.09901, 153.32904,  91.26245,  63.18248, 156.02198,  90.75788,  64.28712, 157.48907,  89.23147,  59.50850, 149.01467,  89.63855,  62.28586, 151.96123,  91.03237,  64.28817, 153.83552,  90.75157,  65.16066, 154.76375,  89.56342,  16.95480, 140.69289,  55.23148,  15.08837, 146.63047,  43.58189,  20.41190, 122.59052,  33.78439,  41.11514, 109.83844,  42.99092,  43.22820, 111.72302,  44.14194,  46.02672, 113.47588,  45.77070,  47.62307, 114.30252,  47.59191,  44.67120, 111.17938,  43.33882,  49.87507, 111.08512,  44.40379,  52.87889, 111.07154,  46.42402,  54.12565, 110.96265,  48.05019,  44.61386, 109.96578,  43.13937,  49.65847, 109.21734,  44.07087,  52.67813, 108.25048,  46.42490,  53.38425, 107.70618,  48.73481,  44.44820, 109.11324,  42.96218,  48.84506, 107.71360,  43.61160,  51.35534, 106.36898,  45.54496,  52.10579, 105.62791,  47.68744,  44.05102, 108.10494,  42.80876,  47.86369, 106.21158,  43.27503,  49.77567, 104.74405,  44.61359,  50.18313, 104.10064,  46.18029
   0.13334,  16.26342,  93.49058,  38.13615,  19.73266,  90.45459,  46.15548,  15.02753,  48.90045,  44.10317,   8.12581,   7.84040,  48.52301,  12.79418,  96.52658,  30.11683,  14.07952,  56.07182,  19.39967,   8.07899,  14.68276,  17.39067,  15.31643, 100.60381,  41.23879,  14.91559, 116.56487,  47.92610,  15.88880, 127.85366,  52.67343,  18.85468, 144.45677,  60.09602,  18.67247, 148.81102,  61.94738,  17.41860, 153.03748,  63.67510,  18.89880, 138.21437,  60.17899,  20.29231, 132.42276,  71.96740,  41.66342, 126.61632,  86.52113,  57.28554, 147.36321,  87.75229,  56.12344, 150.19005,  87.75277,  55.31102, 153.77976,  87.64745,  55.11305, 156.18443,  86.79492,  56.91575, 150.90474,  89.12544,  58.41536, 155.78165,  90.60540,  59.39721, 159.24423,  90.21696,  59.99128, 161.01009,  89.35699,  58.04742, 150.43679,  89.25293,  60.12232, 154.94068,  90.76478,  62.06247, 158.30950,  90.07092,  63.01711, 159.80773,  88.34623,  58.80719, 149.98478,  89.31690,  61.31689, 153.63424,  90.76465,  63.44768, 156.27751,  90.19876,  64.58414, 157.68424,  88.63925,  59.66206, 149.30465,  89.24914,  62.48171, 152.24114,  90.57775,  64.51653, 154.07358,  90.25717,  65.41020, 154.95472,  89.04908,  17.01303, 140.63657,  55.51446,  15.20450, 146.65388,  43.89669,  20.40414, 122.64806,  33.95011,  40.97227, 109.52488,  42.93533,  43.19013, 111.31556,  44.03809,  46.08266, 112.94906,  45.62621,  47.71910, 113.73624,  47.42923,  44.60089, 110.66167,  43.26029,  49.78601, 110.29094,  44.35594,  52.77645, 110.16217,  46.39188,  54.00869, 110.03064,  48.02742,  44.47180, 109.44794,  43.09871,  49.45930, 108.42981,  44.08063,  52.40738, 107.35956,  46.48022,  53.07149, 106.84750,  48.80988,  44.25610, 108.60163,  42.94747,  48.55908, 106.96348,  43.66438,  50.97759, 105.53339,  45.65259,  51.67479, 104.81708,  47.82131,  43.79989, 107.61446,  42.82361,  47.49086, 105.51277,  43.36979,  49.30692, 103.97692,  44.76411,  49.66962, 103.36026,  46.35242
   0.15000,  16.31498,  93.54950,  38.10005,  19.74359,  90.46181,  46.11711,  15.04137,  48.90598,  44.09263,   8.15765,   7.84610,  48.54207,  12.88637,  96.63719,  30.08298,  14.39724,  56.19612,  19.34363,   8.56677,  14.78917,  17.20645,  15.36907, 100.64727,  41.23821,  14.96760, 116.56865,  48.01940,  15.93827, 127.82413,  52.84571,  18.89817, 144.36726,  60.40336,  18.69053, 148.70786,  62.28386,  17.38535, 152.91088,  64.03067,  18.92997, 138.12435,  60.44130,  20.26357, 132.24796,  72.19463,  41.90035, 126.81410,  86.49753,  57.45381, 147.63157,  87.34781,  56.33476, 150.47494,  87.28090,  55.57706, 154.07313,  87.09100,  55.41655, 156.46005,  86.18253,  57.13632, 151.20928,  88.63775,  58.70817, 156.09601,  90.00614,  59.74291, 159.53335,  89.53876,  60.36466, 161.26952,  88.63885,  58.26062, 150.72733,  88.77772,  60.40199, 155.23321,  90.18751,  62.39383, 158.55519,  89.41836,  63.37300, 159.99826,  87.66070,  59.01336, 150.26547,  88.85328,  61.57659, 153.90916,  90.21947,  63.74788, 156.50597,  89.59540,  64.90729, 157.85866,  88.00527,  59.85789, 149.57107,  88.80258,  62.72033, 152.49461,  90.06669,  64.78309, 154.28804,  89.70657,  65.69137, 155.12721,  88.47963,  17.07248, 140.58391,  55.78497,  15.31464, 146.68598,  44.20369,  20.37863, 122.71629,  34.10121,  40.78594, 109.20303,  42.87239,  43.10521, 110.88410,  43.93845,  46.08354, 112.38155,  45.50189,  47.75213, 113.12266,  47.29495,  44.47738, 110.11526,  43.19764,  49.61851, 109.45020,  44.35948,  52.57731, 109.19886,  46.42993,  53.78479, 109.04391,  48.08180,  44.27175, 108.90754,  43.07504,  49.17494, 107.60560,  44.14260,  52.02778, 106.43024,  46.60724,  52.63802, 105.95562,  48.95945,  44.00327, 108.07216,  42.94968,  48.18566, 106.18676,  43.76574,  50.49033, 104.67256,  45.82561,  51.12177, 103.98666,  48.02411,  43.48548, 107.11264,  42.85382,  47.02873, 104.79837,  43.50819,  48.73038, 103.19724,  44.97169,  49.03931, 102.61259,  46.58330
   0.16667,  16.36906,  93.60897,  38.05486,  19.76006,  90.46922,  46.06769,  15.05479,  48.91184,  44.08247,   8.18895,   7.85247,  48.56415,  12.97806,  96.74872,  30.04202,  14.70243,  56.31790,  19.29623,   9.05258,  14.89313,  17.02360,  15.42412, 100.69058,  41.22960,  15.02233, 116.56955,  48.10950,  15.99168, 127.78812,  53.02125,  18.94950, 144.26209,  60.72930,  18.72068, 148.58778,  62.64143,  17.37215, 152.76903,  64.40746,  18.96722, 138.01902,  60.71623,  20.25078, 132.06192,  72.43445,  42.11511, 126.93713,  86.50348,  57.60874, 147.81195,  86.93886,  56.52690, 150.66777,  86.81468,  55.81597, 154.27084,  86.55089,  55.68456, 156.64009,  85.59283,  57.34134, 151.41979,  88.15405,  58.98045, 156.31304,  89.41610,  60.05902, 159.72590,  88.87439,  60.70128, 161.43449,  87.93687,  58.45955, 150.92613,  88.30168,  60.66325, 155.43201,  89.61188,  62.69659, 158.71064,  88.76881,  63.69029, 160.10353,  86.97912,  59.20636, 150.45609,  88.38529,  61.82047, 154.09359,  89.66910,  64.02409, 156.64794,  88.98592,  65.19724, 157.95162,  87.36522,  60.04159, 149.74973,  88.34736,  62.94519, 152.66122,  89.54359,  65.03039, 154.41941,  89.14141,  65.94660, 155.22063,  87.89514,  17.13915, 140.52082,  56.07077,  15.43001, 146.72159,  44.53472,  20.33877, 122.79471,  34.25569,  40.54592, 108.84998,  42.81232,  42.94225, 110.43301,  43.85784,  45.98116, 111.81161,  45.41399,  47.66842, 112.51354,  47.20534,  44.27811, 109.56887,  43.15675,  49.36216, 108.65932,  44.40115,  52.28017, 108.30860,  46.51459,  53.45941, 108.13715,  48.18513,  44.00788, 108.37105,  43.06673,  48.82044, 106.83602,  44.23243,  51.57772, 105.58054,  46.76537,  52.13554, 105.14336,  49.13777,  43.69535, 107.54820,  42.96235,  47.75896, 105.46266,  43.88467,  49.95470, 103.88687,  46.01609,  50.52377, 103.23310,  48.24124,  43.12677, 106.61591,  42.88798,  46.53046, 104.13237,  43.65319,  48.12581, 102.48499,  45.18358,  48.38476, 101.93244,  46.81520
